timestamp,value
1627747208000,47944590000000
1627747238000,47945490000000
1627747268000,47946340000000
1627747298000,47947050000000
1627747328000,47947940000000
1627747358000,47948680000000
1627747388000,47949490000000
1627747418000,47950540000000
1627747448000,47951220000000
1627747478000,47952240000000
1627747508000,47953080000000
1627747538000,47953810000000
1627747568000,47954440000000
1627747598000,47955070000000
1627747628000,47955810000000
1627747658000,47956660000000
1627747688000,47957790000000
1627747718000,47958540000000
1627747748000,47959850000000
1627747778000,47960620000000
1627747808000,47961240000000
1627747838000,47962060000000
1627747868000,47962900000000
1627747898000,47963490000000
1627747928000,47964430000000
1627747958000,47965090000000
1627747988000,47965780000000
1627748018000,47966700000000
1627748048000,47967620000000
1627748078000,47968790000000
1627748108000,47969900000000
1627748138000,47970680000000
1627748168000,47971510000000
1627748198000,47972230000000
1627748228000,47972860000000
1627748258000,47973570000000
1627748288000,47974130000000
1627748318000,47975050000000
1627748348000,47976020000000
1627748378000,47977100000000
1627748408000,47978100000000
1627748438000,47978940000000
1627748468000,47979960000000
1627748498000,47980720000000
1627748528000,47981430000000
1627748558000,47982060000000
1627748588000,47982650000000
1627748618000,47983330000000
1627748648000,47984120000000
1627748678000,47984670000000
1627748708000,47985670000000
1627748738000,47986180000000
1627748768000,47986960000000
1627748798000,47987940000000
1627748828000,47988420000000
1627748858000,47989260000000
1627748888000,47989760000000
1627748918000,47990850000000
1627748948000,47991760000000
1627748978000,47992340000000
1627749008000,47993400000000
1627749038000,47994400000000
1627749068000,47995350000000
1627749098000,47996110000000
1627749128000,47996880000000
1627749158000,47997850000000
1627749188000,47998660000000
1627749218000,47999550000000
1627749248000,48000280000000
1627749278000,48001040000000
1627749308000,48001880000000
1627749338000,48002530000000
1627749368000,48003050000000
1627749398000,48004150000000
1627749428000,48004800000000
1627749458000,48005230000000
1627749488000,48006250000000
1627749518000,48007120000000
1627749548000,48007990000000
1627749578000,48008890000000
1627749608000,48009710000000
1627749638000,48010550000000
1627749668000,48011490000000
1627749698000,48012310000000
1627749728000,48013030000000
1627749758000,48013860000000
1627749788000,48014450000000
1627749818000,48015180000000
1627749848000,48015950000000
1627749878000,48016970000000
