timestamp,value
1627747201000,11022340346
1627747231000,11022497891
1627747261000,11022659985
1627747291000,11022824193
1627747321000,11022972986
1627747351000,11023146580
1627747381000,11023266290
1627747411000,11023442413
1627747441000,11023614426
1627747471000,11023788519
1627747501000,11023958047
1627747531000,11024133130
1627747561000,11024255467
1627747591000,11024376865
1627747621000,11024531530
1627747651000,11024704671
1627747681000,11024873060
1627747711000,11025049374
1627747741000,11025235353
1627747771000,11025403452
1627747801000,11025578895
1627747831000,11025746394
1627747861000,11025916279
1627747891000,11026083890
1627747921000,11026223840
1627747951000,11026393436
1627747981000,11026527076
1627748011000,11026710406
1627748041000,11026882360
1627748071000,11027059606
1627748101000,11027230497
1627748131000,11027405403
1627748161000,11027571257
1627748191000,11027691583
1627748221000,11027847446
1627748251000,11027969009
1627748281000,11028085472
1627748311000,11028265329
1627748341000,11028432192
1627748371000,11028611235
1627748401000,11028793367
1627748431000,11028952045
1627748461000,11029126853
1627748491000,11029289584
1627748521000,11029425546
1627748551000,11029579795
1627748581000,11029707144
1627748611000,11029840815
1627748641000,11030009616
1627748671000,11030182527
1627748701000,11030353253
1627748731000,11030517518
1627748761000,11030684393
1627748791000,11030855983
1627748821000,11031009179
1627748851000,11031156307
1627748881000,11031264559
1627748911000,11031434108
1627748941000,11031610980
1627748971000,11031752482
1627749001000,11031904296
1627749031000,11032067867
1627749061000,11032247773
1627749091000,11032419226
1627749121000,11032589234
1627749151000,11032739084
1627749181000,11032905695
1627749211000,11033074640
1627749241000,11033252876
1627749271000,11033420529
1627749301000,11033523885
1627749331000,11033694813
1627749361000,11033824887
1627749391000,11033988276
1627749421000,11034128008
1627749451000,11034231635
1627749481000,11034371236
1627749511000,11034536639
1627749541000,11034706197
1627749571000,11034873787
1627749601000,11035027070
1627749631000,11035185181
1627749661000,11035361597
1627749691000,11035536634
1627749721000,11035693528
1627749751000,11035815715
1627749781000,11035927601
1627749811000,11036047480
1627749841000,11036204363
1627749871000,11036373243
1627749901000,11036542069
1627749931000,11036683836
1627749961000,11036816788
1627749991000,11036978894
1627750021000,11037144977
1627750051000,11037318764
1627750081000,11037439221
1627750111000,11037570093
1627750141000,11037690277
1627750171000,11037802371
1627750201000,11037968074
1627750231000,11038148978
1627750261000,11038314415
1627750291000,11038490638
1627750321000,11038660059
1627750351000,11038789741
1627750381000,11038957618
1627750411000,11039072593
1627750441000,11039144995
1627750471000,11039261120
1627750501000,11039408108
1627750531000,11039538926
1627750561000,11039693380
1627750591000,11039860171
1627750621000,11040034528
1627750651000,11040206113
1627750681000,11040379822
1627750711000,11040549910
1627750741000,11040681759
1627750771000,11040819019
1627750801000,11040995927
1627750831000,11041164372
1627750861000,11041341142
1627750891000,11041510217
1627750921000,11041686283
1627750951000,11041799167
1627750981000,11041984680
1627751011000,11042103582
1627751041000,11042263156
1627751071000,11042405814
1627751101000,11042547222
1627751131000,11042721926
1627751161000,11042892937
1627751191000,11043071960
1627751221000,11043239570
1627751251000,11043414341
1627751281000,11043585629
1627751311000,11043762705
1627751341000,11043910222
1627751371000,11044050475
1627751401000,11044219514
1627751431000,11044338589
1627751461000,11044512672
1627751491000,11044677200
1627751521000,11044800153
1627751551000,11044972388
1627751581000,11045144841
1627751611000,11045315308
1627751641000,11045480813
1627751671000,11045605891
1627751701000,11045735891
1627751731000,11045914142
1627751761000,11046081789
1627751791000,11046255362
1627751821000,11046424075
1627751851000,11046617584
1627751881000,11046784284
1627751911000,11046959505
1627751941000,11047133565
1627751971000,11047257559
1627752001000,11047404491
1627752031000,11047516723
1627752061000,11047695175
1627752091000,11047869202
1627752121000,11048042446
1627752151000,11048208910
1627752181000,11048334869
1627752211000,11048523277
1627752241000,11048652196
1627752271000,11048817459
1627752301000,11048961615
1627752331000,11049121542
1627752361000,11049249869
1627752391000,11049416274
1627752421000,11049534718
1627752451000,11049703249
1627752481000,11049849506
1627752511000,11050026281
1627752541000,11050192757
1627752571000,11050374307
1627752601000,11050531134
1627752631000,11050687369
1627752661000,11050862761
1627752691000,11051003425
1627752721000,11051170523
1627752751000,11051343586
1627752781000,11051515032
1627752811000,11051682370
1627752841000,11051863173
1627752871000,11052029209
1627752901000,11052172915
1627752931000,11052338971
1627752961000,11052495597
1627752991000,11052669777
1627753021000,11052842765
1627753051000,11053013591
1627753081000,11053192448
1627753111000,11053363064
1627753141000,11053528846
1627753171000,11053697716
1627753201000,11053822635
1627753231000,11053997940
1627753261000,11054167607
1627753291000,11054332538
1627753321000,11054510136
1627753351000,11054683157
1627753381000,11054848626
1627753411000,11055007682
1627753441000,11055177089
1627753471000,11055341121
1627753501000,11055463061
1627753531000,11055632097
1627753561000,11055802687
1627753591000,11055980784
1627753621000,11056154910
1627753651000,11056279862
1627753681000,11056454744
1627753711000,11056625401
1627753741000,11056789562
1627753771000,11056921750
1627753801000,11057051583
1627753831000,11057223905
1627753861000,11057397421
1627753891000,11057568302
1627753921000,11057691311
1627753951000,11057864008
1627753981000,11058043302
1627754011000,11058222380
1627754041000,11058314437
1627754071000,11058456506
1627754101000,11058590920
1627754131000,11058706046
1627754161000,11058892750
1627754191000,11059057768
1627754221000,11059229377
1627754251000,11059380898
1627754281000,11059524985
1627754311000,11059698288
1627754341000,11059813190
1627754371000,11059959151
1627754401000,11060114781
1627754431000,11060288722
1627754461000,11060423533
1627754491000,11060593711
1627754521000,11060761788
1627754551000,11060879223
1627754581000,11061023024
1627754611000,11061159760
1627754641000,11061296992
1627754671000,11061476131
1627754701000,11061653287
1627754731000,11061776912
1627754761000,11061948644
1627754791000,11062082863
1627754821000,11062268012
1627754851000,11062382089
1627754881000,11062551193
1627754911000,11062719177
1627754941000,11062897887
1627754971000,11063074229
1627755001000,11063189691
1627755031000,11063362386
1627755061000,11063494079
1627755091000,11063663645
1627755121000,11063808464
1627755151000,11063975613
1627755181000,11064124686
1627755211000,11064290562
1627755241000,11064464493
1627755271000,11064646335
1627755301000,11064822262
1627755331000,11064977056
1627755361000,11065117921
1627755391000,11065236101
1627755421000,11065373450
1627755451000,11065495853
1627755481000,11065657645
1627755511000,11065757322
1627755541000,11065902201
1627755571000,11066057860
1627755601000,11066223579
1627755631000,11066390673
1627755661000,11066555704
1627755691000,11066720406
1627755721000,11066886463
1627755751000,11067014210
1627755781000,11067181820
1627755811000,11067350440
1627755841000,11067531785
1627755871000,11067710076
1627755901000,11067879698
1627755931000,11068052860
1627755961000,11068226851
1627755991000,11068398025
1627756021000,11068529945
1627756051000,11068707802
1627756081000,11068877190
1627756111000,11069045370
1627756141000,11069183947
1627756171000,11069341196
1627756201000,11069514952
1627756231000,11069689532
1627756261000,11069847460
1627756291000,11069988846
1627756321000,11070138582
1627756351000,11070278907
1627756381000,11070422008
1627756411000,11070553036
1627756441000,11070717206
1627756471000,11070879898
1627756501000,11071056816
1627756531000,11071164380
1627756561000,11071318575
1627756591000,11071499945
1627756621000,11071670257
1627756651000,11071821324
1627756681000,11071993428
1627756711000,11072155410
1627756741000,11072329705
1627756771000,11072514097
1627756801000,11072682511
1627756831000,11072856443
1627756861000,11073024377
1627756891000,11073192778
1627756921000,11073338881
1627756951000,11073490454
1627756981000,11073653771
1627757011000,11073839456
1627757041000,11074011812
1627757071000,11074183420
1627757101000,11074357586
1627757131000,11074531797
1627757161000,11074682166
1627757191000,11074857929
1627757221000,11074976519
1627757251000,11075103442
1627757281000,11075282633
1627757311000,11075454151
1627757341000,11075627005
1627757371000,11075794273
1627757401000,11075969909
1627757431000,11076149061
1627757461000,11076310454
1627757491000,11076480361
1627757521000,11076620500
1627757551000,11076799609
1627757581000,11076977176
1627757611000,11077141957
1627757641000,11077307088
1627757671000,11077437220
1627757701000,11077586602
1627757731000,11077710092
1627757761000,11077887438
1627757791000,11078064152
1627757821000,11078194631
1627757851000,11078365676
1627757881000,11078537213
1627757911000,11078700182
1627757941000,11078874290
1627757971000,11079042878
1627758001000,11079223152
1627758031000,11079338102
1627758061000,11079498786
1627758091000,11079666520
1627758121000,11079801752
1627758151000,11079974223
1627758181000,11080135948
1627758211000,11080323394
1627758241000,11080492937
1627758271000,11080660476
1627758301000,11080825858
1627758331000,11080988190
1627758361000,11081158582
1627758391000,11081324403
1627758421000,11081451762
1627758451000,11081607658
1627758481000,11081737313
1627758511000,11081874976
1627758541000,11082015934
1627758571000,11082178202
1627758601000,11082301692
1627758631000,11082468463
1627758661000,11082589949
1627758691000,11082749346
1627758721000,11082904064
1627758751000,11083047498
