timestamp,value
1627747227000,38053524
1627747257000,38054150
1627747287000,38054703
1627747317000,38055172
1627747347000,38055767
1627747377000,38056176
1627747407000,38056693
1627747437000,38057358
1627747467000,38057965
1627747497000,38058722
1627747527000,38059277
1627747557000,38059568
1627747587000,38059985
1627747617000,38060484
1627747647000,38061048
1627747677000,38061717
1627747707000,38062297
1627747737000,38062893
1627747767000,38063539
1627747797000,38064166
1627747827000,38064795
1627747857000,38065373
1627747887000,38065903
1627747917000,38066368
1627747947000,38066997
1627747977000,38067528
1627748007000,38068248
1627748037000,38068817
1627748067000,38069399
1627748097000,38070017
1627748127000,38070500
1627748157000,38071138
1627748187000,38071511
1627748217000,38072017
1627748247000,38072425
1627748277000,38072736
1627748307000,38073357
1627748337000,38074072
1627748367000,38074750
1627748397000,38075330
1627748427000,38075989
1627748457000,38076529
1627748487000,38077228
1627748517000,38077802
1627748547000,38078569
1627748577000,38079035
1627748607000,38079593
1627748637000,38080116
1627748667000,38080685
1627748697000,38081276
1627748727000,38082069
1627748757000,38082628
1627748787000,38083229
1627748817000,38083823
1627748847000,38084418
1627748877000,38084708
1627748907000,38085238
1627748937000,38085960
1627748967000,38086325
1627748997000,38086924
1627749027000,38087592
1627749057000,38088111
1627749087000,38088658
1627749117000,38089113
1627749147000,38089535
1627749177000,38090116
1627749207000,38090711
1627749237000,38091279
1627749267000,38091880
1627749297000,38092234
1627749327000,38092915
1627749357000,38093509
1627749387000,38094079
1627749417000,38094626
1627749447000,38094886
1627749477000,38095293
1627749507000,38095891
1627749537000,38096447
1627749567000,38097079
1627749597000,38097608
1627749627000,38098119
1627749657000,38098808
1627749687000,38099451
1627749717000,38100113
1627749747000,38100502
1627749777000,38100839
1627749807000,38101108
1627749837000,38101601
1627749867000,38102032
1627749897000,38102417
1627749927000,38102981
1627749957000,38103417
1627749987000,38104079
1627750017000,38104742
1627750047000,38105430
1627750077000,38105885
1627750107000,38106280
1627750137000,38106715
1627750167000,38107253
1627750197000,38107755
1627750227000,38108266
1627750257000,38108812
1627750287000,38109520
1627750317000,38110086
1627750347000,38110668
1627750377000,38111114
1627750407000,38111571
1627750437000,38111779
1627750467000,38112138
1627750497000,38112544
1627750527000,38113074
1627750557000,38113477
1627750587000,38114080
1627750617000,38114672
1627750647000,38115167
1627750677000,38115766
1627750707000,38116413
1627750737000,38116972
1627750767000,38117495
1627750797000,38118124
1627750827000,38118694
1627750857000,38119338
1627750887000,38119815
1627750917000,38120445
1627750947000,38120732
1627750977000,38121270
1627751007000,38121751
1627751037000,38122292
1627751067000,38122925
1627751097000,38123335
1627751127000,38123987
1627751157000,38124540
1627751187000,38125010
1627751217000,38125484
1627751247000,38126092
1627751277000,38126575
1627751307000,38127024
1627751337000,38127584
1627751367000,38128070
1627751397000,38128762
1627751427000,38129141
1627751457000,38129848
1627751487000,38130357
1627751517000,38130894
1627751547000,38131385
1627751577000,38132058
1627751607000,38132717
1627751637000,38133355
1627751667000,38133910
1627751697000,38134490
1627751727000,38135189
1627751757000,38135631
1627751787000,38136094
1627751817000,38136640
1627751847000,38137275
1627751877000,38137818
1627751907000,38138300
1627751937000,38139048
1627751967000,38139496
1627751997000,38140021
1627752027000,38140310
1627752057000,38140897
1627752087000,38141520
1627752117000,38142151
1627752147000,38142690
1627752177000,38143091
1627752207000,38143703
1627752237000,38144012
1627752267000,38144669
1627752297000,38145195
1627752327000,38145743
1627752357000,38146038
1627752387000,38146493
1627752417000,38146936
1627752447000,38147450
1627752477000,38148049
1627752507000,38148705
1627752537000,38149301
1627752567000,38149946
1627752597000,38150620
1627752627000,38151098
1627752657000,38151693
1627752687000,38152143
1627752717000,38152684
1627752747000,38153141
1627752777000,38153724
1627752807000,38154343
1627752837000,38155058
1627752867000,38155737
1627752897000,38156362
1627752927000,38156894
1627752957000,38157433
1627752987000,38158168
1627753017000,38158716
1627753047000,38159380
1627753077000,38159877
1627753107000,38160516
1627753137000,38161092
1627753167000,38161742
1627753197000,38162092
1627753227000,38162728
1627753257000,38163456
1627753287000,38163861
1627753317000,38164437
1627753347000,38164961
1627753377000,38165587
1627753407000,38166139
1627753437000,38166692
1627753467000,38167329
1627753497000,38167781
1627753527000,38168522
1627753557000,38169169
1627753587000,38169598
1627753617000,38170164
1627753647000,38170541
1627753677000,38171164
1627753707000,38171752
1627753737000,38172384
1627753767000,38172889
1627753797000,38173226
1627753827000,38173855
1627753857000,38174483
1627753887000,38174904
1627753917000,38175380
1627753947000,38176048
1627753977000,38176649
