timestamp,value
1627747225000,996247298497
1627747255000,996248430820
1627747285000,996248430820
1627747315000,996248430820
1627747345000,996257272233
1627747375000,996262372928
1627747405000,996273366170
1627747435000,996279347372
1627747465000,996291978221
1627747495000,996315986555
1627747525000,996323494773
1627747555000,996325694903
1627747585000,996325694903
1627747615000,996336156964
1627747645000,996349844024
1627747675000,996353345294
1627747705000,996361785304
1627747735000,996369423849
1627747765000,996398549058
1627747795000,996413001797
1627747825000,996435772600
1627747855000,996437548003
1627747885000,996458244472
1627747915000,996489665637
1627747945000,996511109432
1627747975000,996522234319
1627748005000,996534249494
1627748035000,996549487432
1627748065000,996559502127
1627748095000,996576792026
1627748125000,996588855511
1627748155000,996598804055
1627748185000,996609307652
1627748215000,996625417980
1627748245000,996629852030
1627748275000,996648290920
1627748305000,996666063881
1627748335000,996669842348
1627748365000,996692200899
1627748395000,996695554567
1627748425000,996703071253
1627748455000,996726102389
1627748485000,996738308174
1627748515000,996740518919
1627748545000,996743919124
1627748575000,996749209194
1627748605000,996765625559
1627748635000,996777172151
1627748665000,996804493796
1627748695000,996817952395
1627748725000,996820262706
1627748755000,996830710334
1627748785000,996846374401
1627748815000,996853680896
1627748845000,996857217044
1627748875000,996867033649
1627748905000,996880556379
1627748935000,996887511585
1627748965000,996910253159
1627748995000,996930695939
1627749025000,996934010901
1627749055000,996961883347
1627749085000,996981337138
1627749115000,996981337138
1627749145000,996986352673
1627749175000,996986621845
1627749205000,997002717129
1627749235000,997015182073
1627749265000,997025749938
1627749295000,997031574839
1627749325000,997031574839
1627749355000,997044763588
1627749385000,997049766564
1627749415000,997053224841
1627749445000,997053224841
1627749475000,997060865622
1627749505000,997066509945
1627749535000,997067735183
1627749565000,997079441220
1627749595000,997085245080
1627749625000,997091967655
1627749655000,997115827560
1627749685000,997129973756
1627749715000,997136228816
1627749745000,997152188539
1627749775000,997164552393
1627749805000,997165316719
1627749835000,997184256642
1627749865000,997194297941
1627749895000,997225874817
1627749925000,997250074181
1627749955000,997274246624
1627749985000,997287108264
1627750015000,997320710234
1627750045000,997335235253
1627750075000,997343469013
1627750105000,997343469013
1627750135000,997368609183
1627750165000,997376834387
1627750195000,997388022216
1627750225000,997422138867
1627750255000,997445477294
1627750285000,997469208678
1627750315000,997484723075
1627750345000,997515010024
1627750375000,997537585254
1627750405000,997560791885
1627750435000,997573350574
1627750465000,997581353367
1627750495000,997593564832
1627750525000,997603933095
1627750555000,997610828720
1627750585000,997614408135
1627750615000,997619115795
1627750645000,997623338098
1627750675000,997635415836
1627750705000,997644466517
1627750735000,997661304277
1627750765000,997667200834
1627750795000,997672381579
1627750825000,997690696730
1627750855000,997703910514
1627750885000,997706308096
1627750915000,997732829523
1627750945000,997752651437
1627750975000,997753724257
1627751005000,997768736559
1627751035000,997787312698
1627751065000,997808839460
1627751095000,997822012091
1627751125000,997836958570
1627751155000,997851533968
1627751185000,997866697648
1627751215000,997879293838
1627751245000,997893682327
1627751275000,997901003673
