timestamp,value
1627747225000,7253308
1627747255000,7253342
1627747285000,7253611
1627747315000,7253644
1627747345000,7253677
1627747375000,7253677
1627747405000,7253713
1627747435000,7253713
1627747465000,7253746
1627747495000,7253904
1627747525000,7253904
1627747555000,7253904
1627747585000,7254075
1627747615000,7254207
1627747645000,7254207
1627747675000,7254207
1627747705000,7254207
1627747735000,7254274
1627747765000,7254307
1627747795000,7254500
1627747825000,7254500
1627747855000,7254534
1627747885000,7254637
1627747915000,7254807
1627747945000,7254840
1627747975000,7254976
1627748005000,7254976
1627748035000,7255055
1627748065000,7255055
1627748095000,7255217
1627748125000,7255256
1627748155000,7255256
1627748185000,7255323
1627748215000,7255392
1627748245000,7255430
1627748275000,7255602
1627748305000,7255637
1627748335000,7255637
1627748365000,7255783
1627748395000,7255895
1627748425000,7255962
1627748455000,7256068
1627748485000,7256068
1627748515000,7256068
1627748545000,7256173
1627748575000,7256173
1627748605000,7256277
1627748635000,7256277
1627748665000,7256347
1627748695000,7256608
1627748725000,7256716
1627748755000,7256716
1627748785000,7256825
1627748815000,7256858
1627748845000,7256858
1627748875000,7256893
1627748905000,7256926
1627748935000,7256926
1627748965000,7257109
1627748995000,7257360
1627749025000,7257464
1627749055000,7257464
1627749085000,7257531
1627749115000,7257531
1627749145000,7257531
1627749175000,7257634
1627749205000,7257634
1627749235000,7257700
1627749265000,7257700
1627749295000,7257929
1627749325000,7257929
1627749355000,7257995
1627749385000,7257995
1627749415000,7258028
1627749445000,7258094
1627749475000,7258208
1627749505000,7258241
1627749535000,7258379
1627749565000,7258379
1627749595000,7258633
1627749625000,7258633
1627749655000,7258633
1627749685000,7258704
1627749715000,7258737
1627749745000,7258848
1627749775000,7259017
1627749805000,7259128
1627749835000,7259128
1627749865000,7259128
1627749895000,7259232
1627749925000,7259364
1627749955000,7259535
1627749985000,7259535
1627750015000,7259640
1627750045000,7259640
1627750075000,7259784
1627750105000,7259850
1627750135000,7259883
1627750165000,7259883
1627750195000,7260223
1627750225000,7260223
1627750255000,7260258
1627750285000,7260258
1627750315000,7260394
1627750345000,7260394
1627750375000,7260637
1627750405000,7260672
1627750435000,7260706
1627750465000,7260739
1627750495000,7260924
1627750525000,7260959
1627750555000,7260992
1627750585000,7261161
1627750615000,7261196
1627750645000,7261365
1627750675000,7261365
1627750705000,7261511
1627750735000,7261511
1627750765000,7261678
1627750795000,7261877
1627750825000,7261877
1627750855000,7261943
1627750885000,7262011
1627750915000,7262011
1627750945000,7262110
1627750975000,7262244
1627751005000,7262415
1627751035000,7262522
1627751065000,7262596
1627751095000,7262810
1627751125000,7262810
1627751155000,7262846
1627751185000,7262879
1627751215000,7263054
1627751245000,7263054
1627751275000,7263228
1627751305000,7263228
1627751335000,7263398
1627751365000,7263398
1627751395000,7263521
1627751425000,7263521
1627751455000,7263729
1627751485000,7263762
1627751515000,7263762
1627751545000,7263864
1627751575000,7263963
1627751605000,7264001
1627751635000,7264073
1627751665000,7264073
1627751695000,7264224
1627751725000,7264224
1627751755000,7264327
1627751785000,7264394
1627751815000,7264394
1627751845000,7264394
1627751875000,7264394
1627751905000,7264498
1627751935000,7264498
1627751965000,7264531
1627751995000,7264720
1627752025000,7264720
1627752055000,7264787
1627752085000,7264928
1627752115000,7264928
1627752145000,7264928
1627752175000,7264928
1627752205000,7264961
1627752235000,7264961
1627752265000,7264961
1627752295000,7265113
1627752325000,7265216
1627752355000,7265249
1627752385000,7265317
1627752415000,7265351
1627752445000,7265494
1627752475000,7265494
1627752505000,7265494
1627752535000,7265527
1627752565000,7265566
1627752595000,7265804
1627752625000,7265837
1627752655000,7265837
1627752685000,7265943
1627752715000,7265943
1627752745000,7266012
1627752775000,7266046
1627752805000,7266046
1627752835000,7266216
1627752865000,7266216
1627752895000,7266562
1627752925000,7266596
1627752955000,7266596
1627752985000,7266596
1627753015000,7266739
1627753045000,7266739
1627753075000,7266739
1627753105000,7266739
1627753135000,7266849
1627753165000,7266882
1627753195000,7267030
1627753225000,7267200
1627753255000,7267234
1627753285000,7267402
1627753315000,7267402
1627753345000,7267435
1627753375000,7267633
1627753405000,7267775
1627753435000,7267879
1627753465000,7267953
1627753495000,7268162
1627753525000,7268299
1627753555000,7268402
1627753585000,7268402
1627753615000,7268472
1627753645000,7268538
1627753675000,7268676
1627753705000,7268676
1627753735000,7268676
1627753765000,7268874
1627753795000,7268977
1627753825000,7268977
1627753855000,7269113
1627753885000,7269113
1627753915000,7269113
1627753945000,7269226
1627753975000,7269226
1627754005000,7269226
1627754035000,7269261
1627754065000,7269261
1627754095000,7269446
1627754125000,7269548
1627754155000,7269681
1627754185000,7269714
1627754215000,7269884
1627754245000,7269884
1627754275000,7269884
1627754305000,7269884
1627754335000,7269994
1627754365000,7269994
1627754395000,7270191
1627754425000,7270191
1627754455000,7270299
1627754485000,7270370
1627754515000,7270370
1627754545000,7270370
1627754575000,7270509
1627754605000,7270674
1627754635000,7270918
1627754665000,7270918
1627754695000,7271184
1627754725000,7271184
1627754755000,7271219
1627754785000,7271219
1627754815000,7271252
1627754845000,7271252
1627754875000,7271287
1627754905000,7271320
1627754935000,7271420
1627754965000,7271420
1627754995000,7271648
1627755025000,7271648
1627755055000,7271682
