timestamp,value
1627747202000,304328
1627747232000,304392
1627747262000,303064
1627747292000,302896
1627747322000,333760
1627747352000,301912
1627747382000,348040
1627747412000,304592
1627747442000,303456
1627747472000,302376
1627747502000,302456
1627747532000,303872
1627747562000,356448
1627747592000,303720
1627747622000,316952
1627747652000,302992
1627747682000,301376
1627747712000,301896
1627747742000,302928
1627747772000,302952
1627747802000,302968
1627747832000,314736
1627747862000,302056
1627747892000,303336
1627747922000,347368
1627747952000,303856
1627747982000,315200
1627748012000,303040
1627748042000,301488
1627748072000,303576
1627748102000,302680
1627748132000,302680
1627748162000,302616
1627748192000,347224
1627748222000,306000
1627748252000,357720
1627748282000,315840
1627748312000,303088
1627748342000,305656
1627748372000,303008
1627748402000,302304
1627748432000,302440
1627748462000,302608
1627748492000,301488
1627748522000,352088
1627748552000,303808
1627748582000,314000
1627748612000,348776
1627748642000,303760
1627748672000,304312
1627748702000,301624
1627748732000,304176
1627748762000,305048
1627748792000,303080
1627748822000,314368
1627748852000,346136
1627748882000,316576
1627748912000,303232
1627748942000,301712
1627748972000,348256
1627749002000,302232
1627749032000,303472
1627749062000,302232
1627749092000,303520
1627749122000,303448
1627749152000,303728
1627749182000,304896
1627749212000,300880
1627749242000,303024
1627749272000,304264
1627749302000,356880
1627749332000,304472
1627749362000,302272
1627749392000,314976
1627749422000,345784
1627749452000,333568
1627749482000,332936
1627749512000,302080
1627749542000,303120
1627749572000,302024
1627749602000,299200
1627749632000,302600
1627749662000,302064
1627749692000,301632
1627749722000,301976
1627749752000,358008
1627749782000,315856
1627749812000,347296
1627749842000,306072
1627749872000,302216
1627749902000,311696
1627749932000,348360
1627749962000,302224
1627749992000,304032
1627750022000,303768
1627750052000,301304
1627750082000,357056
1627750112000,316152
1627750142000,348224
1627750172000,315928
1627750202000,347184
1627750232000,302520
1627750262000,304856
1627750292000,301096
1627750322000,304408
1627750352000,303016
1627750382000,315456
1627750412000,349824
1627750442000,354800
1627750472000,362464
1627750502000,303296
1627750532000,315608
1627750562000,348544
1627750592000,304344
1627750622000,304096
1627750652000,300936
1627750682000,303112
1627750712000,304640
1627750742000,312472
1627750772000,349192
1627750802000,303264
1627750832000,303712
1627750862000,304896
1627750892000,301248
1627750922000,304048
1627750952000,356848
1627750982000,305776
1627751012000,303648
1627751042000,304272
