timestamp,value
1627747202000,2496608
1627747232000,2487336
1627747262000,2626112
1627747292000,2539744
1627747322000,2540696
1627747352000,2507216
1627747382000,2418064
1627747412000,2586120
1627747442000,2551424
1627747472000,2654064
1627747502000,2539376
1627747532000,2531304
1627747562000,2389512
1627747592000,2477200
1627747622000,2611296
1627747652000,2548296
1627747682000,2526736
1627747712000,2625272
1627747742000,2563712
1627747772000,2649728
1627747802000,2396032
1627747832000,2568416
1627747862000,2531424
1627747892000,2445408
1627747922000,2507696
1627747952000,2462640
1627747982000,2549264
1627748012000,2516488
1627748042000,2592504
1627748072000,2637800
1627748102000,2650088
1627748132000,2564072
1627748162000,2531424
1627748192000,2426488
1627748222000,2439264
1627748252000,2480336
1627748282000,2510096
1627748312000,2565632
1627748342000,2477144
1627748372000,2641544
1627748402000,2612752
1627748432000,2604912
1627748462000,2428912
1627748492000,2617200
1627748522000,2527872
1627748552000,2451072
1627748582000,2438776
1627748612000,2399152
1627748642000,2639488
1627748672000,2600816
1627748702000,2645872
1627748732000,2568048
1627748762000,2436560
1627748792000,2449392
1627748822000,2433360
1627748852000,2540824
1627748882000,2600080
1627748912000,2606952
1627748942000,2571784
1627748972000,2392536
1627749002000,2516248
1627749032000,2617928
1627749062000,2567928
1627749092000,2641544
1627749122000,2440832
1627749152000,2417216
1627749182000,2396744
1627749212000,2576368
1627749242000,2633704
1627749272000,2600696
1627749302000,2545872
1627749332000,2619600
1627749362000,2548776
1627749392000,2541192
1627749422000,2495648
1627749452000,2399496
1627749482000,2502504
1627749512000,2647072
1627749542000,2645752
1627749572000,2391816
1627749602000,2494920
1627749632000,2470232
1627749662000,2629368
1627749692000,2617088
1627749722000,2535288
1627749752000,2590328
1627749782000,2395648
1627749812000,2572488
1627749842000,2537688
1627749872000,2506848
1627749902000,2441432
1627749932000,2585168
1627749962000,2517448
1627749992000,2475888
1627750022000,2613352
1627750052000,2572264
1627750082000,2635272
1627750112000,2440216
1627750142000,2603944
1627750172000,2579376
1627750202000,2435288
1627750232000,2638648
1627750262000,2478064
1627750292000,2388064
1627750322000,2535400
1627750352000,2630816
1627750382000,2393488
1627750412000,2385896
1627750442000,2622720
1627750472000,2581408
1627750502000,2599128
1627750532000,2594912
1627750562000,2631648
1627750592000,2605872
1627750622000,2473968
1627750652000,2629616
1627750682000,2572392
1627750712000,2363496
1627750742000,2524800
1627750772000,2587192
1627750802000,2622256
1627750832000,2486248
1627750862000,2380112
1627750892000,2551792
1627750922000,2506504
1627750952000,2586712
1627750982000,2602864
1627751012000,2413488
1627751042000,2594904
1627751072000,2512504
1627751102000,2618880
1627751132000,2565032
1627751162000,2625400
1627751192000,2629368
1627751222000,2522384
1627751252000,2526976
1627751282000,2609016
1627751312000,2584552
1627751342000,2425288
1627751372000,2410104
1627751402000,2561176
1627751432000,2537320
1627751462000,2520824
1627751492000,2416392
1627751522000,2610216
1627751552000,2455040
1627751582000,2642144
1627751612000,2556008
1627751642000,2609248
1627751672000,2459376
1627751702000,2440456
1627751732000,2610576
1627751762000,2637800
1627751792000,2445056
1627751822000,2428672
1627751852000,2395656
1627751882000,2588168
1627751912000,2596720
1627751942000,2584560
1627751972000,2549376
1627752002000,2628032
1627752032000,2587072
1627752062000,2438776
1627752092000,2453368
1627752122000,2432640
1627752152000,2539256
1627752182000,2500104
1627752212000,2606472
1627752242000,2463008
1627752272000,2397704
1627752302000,2609848
1627752332000,2601536
1627752362000,2578040
1627752392000,2598520
1627752422000,2577808
1627752452000,2549256
1627752482000,2544080
1627752512000,2470104
1627752542000,2448912
1627752572000,2653592
1627752602000,2436976
1627752632000,2540096
1627752662000,2478656
1627752692000,2590448
