timestamp,value
1627747212000,211501780000000
1627747242000,211505620000000
1627747272000,211509350000000
1627747302000,211512110000000
1627747332000,211515600000000
1627747362000,211518770000000
1627747392000,211522010000000
1627747422000,211525390000000
1627747452000,211528930000000
1627747482000,211532650000000
1627747512000,211536460000000
1627747542000,211540010000000
1627747572000,211542650000000
1627747602000,211545240000000
1627747632000,211548200000000
1627747662000,211551550000000
1627747692000,211555220000000
1627747722000,211558930000000
1627747752000,211562850000000
1627747782000,211566330000000
1627747812000,211570060000000
1627747842000,211573560000000
1627747872000,211577160000000
1627747902000,211580540000000
1627747932000,211584360000000
1627747962000,211586480000000
1627747992000,211590260000000
1627748022000,211593730000000
1627748052000,211597270000000
1627748082000,211600990000000
1627748112000,211605040000000
1627748142000,211608650000000
1627748172000,211612820000000
1627748202000,211615090000000
1627748232000,211617510000000
1627748262000,211620940000000
1627748292000,211623440000000
1627748322000,211626960000000
1627748352000,211630590000000
1627748382000,211634410000000
1627748412000,211637840000000
1627748442000,211641450000000
1627748472000,211644410000000
1627748502000,211647630000000
1627748532000,211649960000000
1627748562000,211652240000000
1627748592000,211655640000000
1627748622000,211658920000000
1627748652000,211662330000000
1627748682000,211666130000000
1627748712000,211669730000000
1627748742000,211672920000000
1627748772000,211676550000000
1627748802000,211679870000000
1627748832000,211682170000000
1627748862000,211685230000000
1627748892000,211687740000000
1627748922000,211692120000000
1627748952000,211695620000000
1627748982000,211698270000000
1627749012000,211701890000000
1627749042000,211705870000000
1627749072000,211709730000000
1627749102000,211713440000000
1627749132000,211716800000000
1627749162000,211720500000000
1627749192000,211723780000000
1627749222000,211727750000000
1627749252000,211731450000000
1627749282000,211733850000000
1627749312000,211737890000000
1627749342000,211741570000000
1627749372000,211744660000000
1627749402000,211748540000000
1627749432000,211751020000000
1627749462000,211753120000000
1627749492000,211756960000000
1627749522000,211760640000000
1627749552000,211764700000000
1627749582000,211768200000000
1627749612000,211771100000000
1627749642000,211775120000000
1627749672000,211779280000000
1627749702000,211782780000000
1627749732000,211785760000000
1627749762000,211788840000000
1627749792000,211789960000000
1627749822000,211793340000000
1627749852000,211796680000000
1627749882000,211800180000000
1627749912000,211803410000000
1627749942000,211805230000000
1627749972000,211808500000000
1627750002000,211811780000000
1627750032000,211815290000000
1627750062000,211818080000000
1627750092000,211820520000000
1627750122000,211823050000000
1627750152000,211826880000000
1627750182000,211829450000000
1627750212000,211833070000000
1627750242000,211836930000000
1627750272000,211839650000000
1627750302000,211843160000000
1627750332000,211846930000000
1627750362000,211849380000000
1627750392000,211852740000000
1627750422000,211854060000000
1627750452000,211856110000000
1627750482000,211858190000000
1627750512000,211860810000000
1627750542000,211863460000000
1627750572000,211867020000000
1627750602000,211870480000000
1627750632000,211873590000000
1627750662000,211877300000000
1627750692000,211880880000000
1627750722000,211883790000000
1627750752000,211886980000000
1627750782000,211889860000000
1627750812000,211893350000000
1627750842000,211896140000000
1627750872000,211899780000000
1627750902000,211903470000000
1627750932000,211906820000000
1627750962000,211909580000000
1627750992000,211913420000000
1627751022000,211915730000000
1627751052000,211919150000000
1627751082000,211921800000000
1627751112000,211925460000000
1627751142000,211929460000000
1627751172000,211932710000000
1627751202000,211936560000000
1627751232000,211940180000000
1627751262000,211943770000000
