timestamp,value
1627747207000,66733628709
1627747237000,66734767968
1627747267000,66735984117
1627747297000,66736931382
1627747327000,66738352263
1627747357000,66739453143
1627747387000,66740387604
1627747417000,66741822048
1627747447000,66743165412
1627747477000,66744432744
1627747507000,66745559199
1627747537000,66746903355
1627747567000,66747818940
1627747597000,66748759506
1627747627000,66750013968
1627747657000,66751332483
1627747687000,66752457981
1627747717000,66753687891
1627747747000,66754852758
1627747777000,66756158469
1627747807000,66757296243
1627747837000,66758437020
1627747867000,66759627528
1627747897000,66760561956
1627747927000,66761854896
1627747957000,66762917397
1627747987000,66764069460
1627748017000,66765400779
1627748047000,66766719261
1627748077000,66767922573
1627748107000,66769125885
1627748137000,66770252340
1627748167000,66771302037
1627748197000,66772159707
1627748227000,66773145384
1627748257000,66774231414
1627748287000,66775065522
1627748317000,66776409645
1627748347000,66777561708
1627748377000,66778675392
1627748407000,66779993907
1627748437000,66781209990
1627748467000,66782656479
1627748497000,66784051851
1627748527000,66785216718
1627748557000,66786394422
1627748587000,66787277700
1627748617000,66788212194
1627748647000,66789556251
1627748677000,66790708380
1627748707000,66791937234
1627748737000,66793166154
1627748767000,66794497473
1627748797000,66795764739
1627748827000,66796712037
1627748857000,66798056127
1627748887000,66799080216
1627748917000,66800142684
1627748947000,66801470538
1627748977000,66802459680
1627749007000,66803675730
1627749037000,66804840630
1627749067000,66806056779
1627749097000,66807298437
1627749127000,66808476141
1627749157000,66809679453
1627749187000,66810972360
1627749217000,66812188410
1627749247000,66813328890
1627749277000,66814454223
1627749307000,66815388684
1627749337000,66816502335
1627749367000,66817257639
1627749397000,66818524938
1627749427000,66819241764
1627749457000,66819907440
1627749487000,66821072307
1627749517000,66822352410
1627749547000,66823376499
1627749577000,66824669406
1627749607000,66826064745
1627749637000,66827114409
1627749667000,66828304884
1627749697000,66829546575
1627749727000,66830481036
1627749757000,66831428301
1627749787000,66832375599
1627749817000,66833335668
1627749847000,66834628575
1627749877000,66835831887
1627749907000,66837175977
1627749937000,66838174458
1627749967000,66839544189
1627749997000,66840888279
1627750027000,66842129970
1627750057000,66843358857
1627750087000,66844229331
1627750117000,66845151021
1627750147000,66846047070
1627750177000,66846815112
1627750207000,66847941633
1627750237000,66849093696
1627750267000,66850489002
1627750297000,66851769105
1627750327000,66853074816
1627750357000,66853970865
1627750387000,66855238164
1627750417000,66856006272
1627750447000,66856966308
1627750477000,66857785599
1627750507000,66859270500
1627750537000,66860230569
1627750567000,66861446685
1627750597000,66862483578
1627750627000,66863904459
1627750657000,66865069359
1627750687000,66866336691
1627750717000,66867565611
1627750747000,66868500039
1627750777000,66869421729
1627750807000,66870701832
1627750837000,66871991010
1627750867000,66873220623
1627750897000,66874568706
1627750927000,66875847819
1627750957000,66876679914
1627750987000,66877831977
1627751017000,66878766438
1627751047000,66879922263
1627751077000,66880778745
1627751107000,66882046011
1627751137000,66883300506
1627751167000,66884546322
1627751197000,66885847941
1627751227000,66887064024
1627751257000,66888180183
1627751287000,66889543941
1627751317000,66890955516
1627751347000,66892005180
1627751377000,66893125101
1627751407000,66894424575
1627751437000,66895384644
1627751467000,66896779983
1627751497000,66898072890
1627751527000,66898956135
1627751557000,66900223467
1627751587000,66901452321
1627751617000,66902642829
1627751647000,66903922932
1627751677000,66904806210
1627751707000,66905740671
1627751737000,66907033578
1627751767000,66908222007
1627751797000,66909440202
1627751827000,66910643448
1627751857000,66911897976
1627751887000,66913050072
1627751917000,66914253351
1627751947000,66915443859
1627751977000,66916365516
1627752007000,66917440788
1627752037000,66918272883
1627752067000,66919578594
1627752097000,66921025083
1627752127000,66922381977
1627752157000,66923751675
1627752187000,66924788568
1627752217000,66925923207
1627752247000,66926772726
1627752277000,66927899214
1627752307000,66929051310
1627752337000,66930177798
1627752367000,66931143312
1627752397000,66932622801
1627752427000,66933646857
1627752457000,66934965372
1627752487000,66936219867
1627752517000,66937563957
1627752547000,66938831256
1627752577000,66940149804
1627752607000,66941186664
1627752637000,66942249132
1627752667000,66943490856
1627752697000,66944372649
1627752727000,66945705387
1627752757000,66947036706
1627752787000,66948137586
1627752817000,66949404258
1627752847000,66950774583
1627752877000,66952003470
1627752907000,66952919781
1627752937000,66954171108
1627752967000,66955260042
1627752997000,66956680956
1627753027000,66957909843
1627753057000,66959294919
1627753087000,66960795165
1627753117000,66962164896
1627753147000,66963355338
1627753177000,66964597062
1627753207000,66965518752
1627753237000,66966709227
1627753267000,66967784532
1627753297000,66968975007
1627753327000,66970242306
1627753357000,66971266395
1627753387000,66972470730
1627753417000,66973378560
1627753447000,66974569068
1627753477000,66975759543
1627753507000,66976770795
1627753537000,66978166101
1627753567000,66979484649
1627753597000,66980854347
1627753627000,66982134450
1627753657000,66983107323
1627753687000,66984566649
1627753717000,66985923543
1627753747000,66986973207
1627753777000,66987792465
1627753807000,66988726959
1627753837000,66989955846
1627753867000,66990967131
1627753897000,66992157639
1627753927000,66992979471
1627753957000,66994390056
1627753987000,66995567793
1627754017000,66996643065
1627754047000,66997359891
1627754077000,66998614419
1627754107000,66999472056
1627754137000,67000419354
1627754167000,67001878647
1627754197000,67003056351
1627754227000,67004054832
1627754257000,67004899698
1627754287000,67006218213
1627754317000,67007293452
1627754347000,67008151188
1627754377000,67009239231
1627754407000,67010570550
1627754437000,67011953052
1627754467000,67012913154
1627754497000,67014270015
1627754527000,67015370928
1627754557000,67016330997
1627754587000,67017060660
1627754617000,67018302318
1627754647000,67019134413
1627754677000,67020376137
1627754707000,67021566612
1627754737000,67022629080
1627754767000,67024101210
1627754797000,67025010063
1627754827000,67026160476
1627754857000,67026930234
1627754887000,67028351115
1627754917000,67029541623
1627754947000,67030949733
1627754977000,67032293856
1627755007000,67033228317
1627755037000,67034728959
1627755067000,67035558084
1627755097000,67036761429
1627755127000,67037801391
1627755157000,67039065555
1627755187000,67040295201
1627755217000,67041420930
1627755247000,67042547451
1627755277000,67043827554
1627755307000,67045133265
1627755337000,67046208504
1627755367000,67047373404
1627755397000,67048223187
1627755427000,67049242359
1627755457000,67050202461
1627755487000,67051380165
1627755517000,67051943376
1627755547000,67053070524
1627755577000,67054522491
1627755607000,67055725803
1627755637000,67057031481
1627755667000,67058388408
1627755697000,67059591687
1627755727000,67060820574
1627755757000,67061844696
1627755787000,67063009563
1627755817000,67064289666
1627755847000,67065595377
1627755877000,67066824264
1627755907000,67068142779
1627755937000,67069179639
1627755967000,67070626194
1627755997000,67071995859
1627756027000,67072840725
1627756057000,67074248868
1627756087000,67075375323
1627756117000,67076821845
1627756147000,67077730731
1627756177000,67078985226
1627756207000,67080278133
1627756237000,67081610805
1627756267000,67082863947
1627756297000,67083836787
1627756327000,67084899288
1627756357000,67086227505
1627756387000,67087037061
1627756417000,67088304360
1627756447000,67089520443
1627756477000,67090518924
1627756507000,67091927034
1627756537000,67092720684
1627756567000,67093834401
1627756597000,67095050484
1627756627000,67096420215
1627756657000,67097514033
1627756687000,67098877989
1627756717000,67100030085
1627756747000,67101233364
1627756777000,67102628670
1627756807000,67103895969
1627756837000,67105265700
1627756867000,67106622594
1627756897000,67108081887
1627756927000,67108875537
1627756957000,67110276321
1627756987000,67111329846
1627757017000,67112498211
1627757047000,67113765543
1627757077000,67115276052
1627757107000,67116765705
1627757137000,67118015481
1627757167000,67119180381
1627757197000,67120319673
1627757227000,67121266905
1627757257000,67122227007
1627757287000,67123430286
1627757317000,67124659206
1627757347000,67125926472
1627757377000,67127254095
1627757407000,67128563502
1627757437000,67129587591
1627757467000,67130714046
1627757497000,67131776514
1627757527000,67132647021
1627757557000,67133888745
1627757587000,67135028004
1627757617000,67136244087
1627757647000,67137152940
1627757677000,67138215441
1627757707000,67139508348
1627757737000,67140361398
1627757767000,67141402878
1627757797000,67142913420
1627757827000,67143950313
1627757857000,67145268762
1627757887000,67146610905
1627757917000,67147688157
1627757947000,67149046107
1627757977000,67150350828
1627758007000,67151477283
1627758037000,67152398973
1627758067000,67153461441
1627758097000,67154805531
1627758127000,67155804045
1627758157000,67157122527
1627758187000,67158121008
1627758217000,67159465098
1627758247000,67160617227
1627758277000,67161730911
1627758307000,67162934190
1627758337000,67164022299
1627758367000,67165391964
1627758397000,67166590755
1627758427000,67167632169
1627758457000,67168605042
1627758487000,67169833896
1627758517000,67170729978
1627758547000,67171933257
1627758577000,67173405387
1627758607000,67174339881
1627758637000,67175619984
1627758667000,67176494517
1627758697000,67177732116
1627758727000,67178922657
1627758757000,67179869922
1627758787000,67180945194
1627758817000,67182097290
1627758847000,67183121379
1627758877000,67184375874
1627758907000,67185521601
1627758937000,67186641654
1627758967000,67187985744
1627758997000,67189227435
1627759027000,67190405139
1627759057000,67191570006
1627759087000,67192978149
1627759117000,67194143049
1627759147000,67195013490
1627759177000,67196101566
1627759207000,67197381669
1627759237000,67198503207
1627759267000,67200031470
1627759297000,67201260357
1627759327000,67202386878
1627759357000,67203257319
1627759387000,67204243029
1627759417000,67205245635
1627759447000,67206790431
1627759477000,67207968102
1627759507000,67209133002
1627759537000,67210080267
1627759567000,67211385978
1627759597000,67212435642
1627759627000,67213664529
1627759657000,67214931861
1627759687000,67215776727
1627759717000,67216391187
1627759747000,67217550345
1627759777000,67218912948
1627759807000,67219547373
1627759837000,67220801868
1627759867000,67221716166
1627759897000,67222494801
1627759927000,67223958120
1627759957000,67224992571
1627759987000,67225729230
1627760017000,67226614587
1627760047000,67227650028
1627760077000,67228582410
1627760107000,67229719425
1627760137000,67230934254
1627760167000,67232058498
1627760197000,67233119382
1627760227000,67234338633
1627760257000,67235444991
1627760287000,67236543264
1627760317000,67237705854
1627760347000,67238765715
1627760377000,67239776109
1627760407000,67240465182
1627760437000,67241691462
1627760467000,67242624537
1627760497000,67243716408
1627760527000,67244873520
1627760557000,67245830520
1627760587000,67246993011
1627760617000,67248002250
1627760647000,67249318785
1627760677000,67250404980
1627760707000,67251594432
1627760737000,67252735968
1627760767000,67253721645
1627760797000,67254860937
1627760827000,67255646238
1627760857000,67256804604
1627760887000,67258020687
1627760917000,67259352006
1627760947000,67260555285
1627760977000,67261643427
1627761007000,67262974779
1627761037000,67263705333
1627761067000,67264908546
1627761097000,67265688567
1627761127000,67266815055
1627761157000,67267915935
1627761187000,67268876004
1627761217000,67269823302
1627761247000,67270740273
1627761277000,67271952198
1627761307000,67272985164
1627761337000,67273932429
1627761367000,67274984469
1627761397000,67275942195
1627761427000,67276876623
1627761457000,67277721522
1627761487000,67278847977
1627761517000,67279923282
1627761547000,67280921763
1627761577000,67281817845
1627761607000,67283072340
1627761637000,67284006801
1627761667000,67285082073
1627761697000,67285965318
1627761727000,67287245454
1627761757000,67288683099
1627761787000,67289741640
1627761817000,67290690456
1627761847000,67292212284
1627761877000,67293377151
1627761907000,67294362795
1627761937000,67295527728
1627761967000,67296961413
1627761997000,67298036718
1627762027000,67299239964
1627762057000,67300196766
1627762087000,67301489508
1627762117000,67302542637
1627762147000,67303195509
1627762177000,67304552436
1627762207000,67306088520
1627762237000,67307483859
1627762267000,67308597510
1627762297000,67309839234
1627762327000,67311068121
1627762357000,67312143426
1627762387000,67313461908
1627762417000,67314850416
1627762447000,67315817283
1627762477000,67317059007
1627762507000,67318351914
1627762537000,67319465565
1627762567000,67320016005
1627762597000,67320937695
1627762627000,67322192190
1627762657000,67323331482
1627762687000,67324547565
1627762717000,67325840472
1627762747000,67327043751
1627762777000,67328349462
1627762807000,67329322335
1627762837000,67330423248
1627762867000,67331588148
1627762897000,67332765819
1627762927000,67333905111
1627762957000,67335390012
1627762987000,67336849338
1627763017000,67337732616
1627763047000,67338731064
1627763077000,67339281537
1627763107000,67340023971
1627763137000,67341227283
1627763167000,67342520157
1627763197000,67343723436
1627763227000,67344453165
1627763257000,67345605228
1627763287000,67346782899
1627763317000,67348050198
1627763347000,67349291922
1627763377000,67350264762
1627763407000,67351314789
1627763437000,67352274528
1627763467000,67353477840
1627763497000,67354706727
1627763527000,67355897202
1627763557000,67356831729
1627763587000,67358227035
1627763617000,67359199875
1627763647000,67360501032
1627763677000,67361721702
1627763707000,67362617751
1627763737000,67364000253
1627763767000,67365305964
1627763797000,67366496472
1627763827000,67367686980
1627763857000,67369005495
1627763887000,67370247153
1627763917000,67371258405
1627763947000,67372406871
1627763977000,67373933847
1627764007000,67374868308
1627764037000,67376122803
1627764067000,67377405645
1627764097000,67378813524
1627764127000,67380093627
1627764157000,67381463358
1627764187000,67382666637
1627764217000,67383985152
1627764247000,67385047620
1627764277000,67386442926
1627764307000,67387134177
1627764337000,67388299077
1627764367000,67389489585
1627764397000,67390910499
1627764427000,67391808000
1627764457000,67393137867
1627764487000,67394213139
1627764517000,67395045201
1627764547000,67396274088
1627764577000,67397777964
1627764607000,67398609993
1627764637000,67399301310
1627764667000,67400466144
1627764697000,67401682260
1627764727000,67402821552
1627764757000,67403756013
1627764787000,67404767298
1627764817000,67405676184
1627764847000,67406943483
1627764877000,67408249194
1627764907000,67409145243
1627764937000,67410300969
1627764967000,67411667070
1627764997000,67412831937
1627765027000,67414160286
1627765057000,67415392110
1627765087000,67416697821
1627765117000,67418041944
1627765147000,67419104412
1627765177000,67420411575
1627765207000,67421667192
1627765237000,67422819288
1627765267000,67424048142
1627765297000,67425366690
1627765327000,67426249902
1627765357000,67427325207
1627765387000,67428605310
1627765417000,67429923825
1627765447000,67431178353
1627765477000,67432279233
1627765507000,67433495283
1627765537000,67434493764
1627765567000,67435658664
1627765597000,67436759577
1627765627000,67438129242
1627765657000,67439230122
1627765687000,67440471813
1627765717000,67441393536
1627765747000,67442532795
1627765777000,67443838506
1627765807000,67444772967
1627765837000,67446014691
1627765867000,67447025943
1627765897000,67448344458
1627765927000,67449637365
1627765957000,67450994292
1627765987000,67452261558
1627766017000,67453477641
1627766047000,67454243043
1627766077000,67455397812
1627766107000,67456767510
1627766137000,67457996430
1627766167000,67459140375
1627766197000,67460364576
1627766227000,67461639267
1627766257000,67463065890
1627766287000,67464448095
1627766317000,67465805022
1627766347000,67467110700
1627766377000,67468326816
1627766407000,67469594082
1627766437000,67470771786
1627766467000,67471987902
1627766497000,67473472803
1627766527000,67474765710
1627766557000,67475776995
1627766587000,67476479070
1627766617000,67477927572
1627766647000,67479284466
1627766677000,67480564536
1627766707000,67481959875
1627766737000,67483060755
1627766767000,67484302479
1627766797000,67485377784
1627766827000,67486721841
1627766857000,67487784309
1627766887000,67488731607
1627766917000,67490088534
1627766947000,67490984583
1627766977000,67492392660
1627767007000,67493570364
1627767037000,67494620061
1627767067000,67495631313
1627767097000,67496718135
1627767127000,67497973917
1627767157000,67499392422
1627767187000,67500546927
1627767217000,67501878279
1627767247000,67503196728
1627767277000,67504016019
1627767307000,67505398488
1627767337000,67506587478
1627767367000,67507318659
1627767397000,67508598762
1627767427000,67509840453
1627767457000,67511095014
1627767487000,67512426300
1627767517000,67513706370
1627767547000,67514870280
1627767577000,67516138569
1627767607000,67517085867
1627767637000,67518455532
1627767667000,67519530870
1627767697000,67520874927
1627767727000,67522295841
1627767757000,67523511957
1627767787000,67524817635
1627767817000,67525880136
1627767847000,67526635407
1627767877000,67527595476
1627767907000,67528798788
1627767937000,67530027675
1627767967000,67531090143
1627767997000,67532152611
1627768027000,67533074301
1627768057000,67534405620
1627768087000,67535468088
1627768117000,67536658563
1627768147000,67537682652
1627768177000,67538885964
1627768207000,67539982884
1627768237000,67541420529
1627768267000,67542598266
1627768297000,67543468707
1627768327000,67544607999
1627768357000,67545849690
1627768387000,67546784184
1627768417000,67547936280
1627768447000,67548819525
1627768477000,67550048412
1627768507000,67551046893
1627768537000,67552314225
1627768567000,67553568687
1627768597000,67554759195
1627768627000,67555860042
1627768657000,67556986596
1627768687000,67558164234
1627768717000,67559521161
1627768747000,67560979926
1627768777000,67562174592
1627768807000,67563515052
1627768837000,67564423971
1627768867000,67565665662
1627768897000,67566728130
1627768927000,67567406610
1627768957000,67568289822
1627768987000,67569706908
1627769017000,67570965264
1627769047000,67572296583
1627769077000,67573512666
1627769107000,67574536755
1627769137000,67575599256
1627769167000,67576495305
1627769197000,67577890611
1627769227000,67578799497
1627769257000,67579989939
1627769287000,67581410919
1627769317000,67582588590
1627769347000,67584022275
1627769377000,67585379235
1627769407000,67586595318
1627769437000,67588016199
1627769467000,67589168295
1627769497000,67590410019
1627769527000,67591459683
1627769557000,67592662962
1627769587000,67593943065
1627769617000,67594956858
1627769647000,67595801724
1627769677000,67596800238
1627769707000,67598105916
1627769737000,67599437235
1627769767000,67600956126
1627769797000,67602355854
1627769827000,67603405551
1627769857000,67604660013
1627769887000,67605952920
1627769917000,67607105049
1627769947000,67608372315
1627769977000,67609447620
1627770007000,67610566683
1627770037000,67611367758
1627770067000,67612571037
1627770097000,67613697525
1627770127000,67614926445
1627770157000,67616001717
1627770187000,67617166617
1627770217000,67618523511
1627770247000,67619790810
1627770277000,67621058109
1627770307000,67622133381
1627770337000,67623387909
1627770367000,67624706391
1627770397000,67626152913
1627770427000,67627048995
1627770457000,67627829874
1627770487000,67629058728
1627770517000,67630176636
1627770547000,67631260521
1627770577000,67632361401
1627770607000,67633731132
1627770637000,67635097629
1627770667000,67636406508
1627770697000,67637955429
1627770727000,67639286748
1627770757000,67640080398
1627770787000,67641394293
1627770817000,67642358982
1627770847000,67643459862
1627770877000,67644867972
1627770907000,67645994460
1627770937000,67646877738
1627770967000,67648119429
1627770997000,67649322741
1627771027000,67650538824
1627771057000,67651652508
1627771087000,67652843016
1627771117000,67654410087
1627771147000,67655774406
1627771177000,67656913731
1627771207000,67658245050
1627771237000,67659601977
1627771267000,67660869243
1627771297000,67662136542
1627771327000,67663199043
1627771357000,67664324475
1627771387000,67665567222
1627771417000,67666898508
1627771447000,67667807394
1627771477000,67668997869
1627771507000,67670457195
1627771537000,67671518475
1627771567000,67672556589
1627771597000,67673683044
1627771627000,67674860748
1627771657000,67676256021
1627771687000,67677382542
1627771717000,67678649874
1627771747000,67679981127
1627771777000,67681005249
1627771807000,67682157345
1627771837000,67683411807
1627771867000,67684768734
1627771897000,67685805594
1627771927000,67686752892
1627771957000,67687597725
1627771987000,67688557827
1627772017000,67690081140
1627772047000,67691260791
1627772077000,67692615738
1627772107000,67694164659
1627772137000,67695278343
1627772167000,67696609629
1627772197000,67697774562
1627772227000,67698785847
1627772257000,67699976355
1627772287000,67701346020
1627772317000,67702676910
1627772347000,67703381427
1627772377000,67704443862
1627772407000,67705621566
1627772437000,67706722446
1627772467000,67707964170
1627772497000,67708898631
1627772527000,67710025086
1627772557000,67711087587
1627772587000,67712470122
1627772617000,67713660597
1627772647000,67714966308
1627772677000,67716284823
1627772707000,67717564926
1627772737000,67718934624
1627772767000,67720086720
1627772797000,67721443614
1627772827000,67722723717
1627772857000,67723991016
1627772887000,67725258315
1627772917000,67726551222
1627772947000,67727908116
1627772977000,67728753015
1627773007000,67730045922
1627773037000,67731434298
1627773067000,67732298865
1627773097000,67733271738
1627773127000,67734436638
1627773157000,67735473531
1627773187000,67736574444
1627773217000,67737995325
1627773247000,67739370897
1627773277000,67740760329
1627773307000,67742056008
1627773337000,67743294927
1627773367000,67744485435
1627773397000,67745765538
1627773427000,67746738411
1627773457000,67747416858
1627773487000,67748428143
1627773517000,67749752268
1627773547000,67751052336
1627773577000,67752345243
1627773607000,67753778928
1627773637000,67754572611
1627773667000,67755827106
1627773697000,67757171229
1627773727000,67758272109
