timestamp,value
1627747204000,6.33
1627747264000,6.32
1627747324000,6.32
1627747384000,6.32
1627747444000,6.31
1627747504000,6.3
1627747564000,6.32
1627747624000,6.3
1627747684000,6.31
1627747744000,6.31
1627747804000,6.31
1627747864000,6.31
1627747924000,6.32
1627747984000,6.32
1627748044000,6.33
1627748104000,6.34
1627748164000,6.34
1627748224000,6.34
1627748284000,6.39
1627748344000,6.39
1627748404000,6.37
1627748464000,6.36
1627748524000,6.35
1627748584000,6.35
1627748644000,6.37
1627748704000,6.37
1627748764000,6.36
1627748824000,6.34
1627748884000,6.33
1627748944000,6.32
1627749004000,6.32
1627749064000,6.34
1627749124000,6.35
1627749184000,6.36
1627749244000,6.38
1627749304000,6.36
1627749364000,6.35
1627749424000,6.33
1627749484000,6.33
1627749544000,6.33
1627749604000,6.34
1627749664000,6.37
1627749724000,6.37
1627749784000,6.36
1627749844000,6.35
1627749904000,6.35
1627749964000,6.37
1627750024000,6.36
1627750084000,6.36
1627750144000,6.33
1627750204000,6.33
1627750264000,6.37
1627750324000,6.37
1627750384000,6.36
1627750444000,6.35
1627750504000,6.35
1627750564000,6.36
1627750624000,6.34
1627750684000,6.35
1627750744000,6.39
1627750804000,6.38
1627750864000,6.4
1627750924000,6.43
1627750984000,6.43
1627751044000,6.41
1627751104000,6.44
1627751164000,6.44
1627751224000,6.44
1627751284000,6.42
1627751344000,6.42
1627751404000,6.43
1627751464000,6.43
1627751524000,6.42
1627751584000,6.4
1627751644000,6.39
1627751704000,6.39
1627751764000,6.37
1627751824000,6.43
1627751884000,6.43
1627751944000,6.43
1627752004000,6.41
1627752064000,6.41
1627752124000,6.43
1627752184000,6.42
1627752244000,6.4
1627752304000,6.4
1627752364000,6.39
1627752424000,6.37
1627752484000,6.36
1627752544000,6.37
1627752604000,6.36
1627752664000,6.36
1627752724000,6.35
1627752784000,6.34
1627752844000,6.34
1627752904000,6.32
1627752964000,6.32
1627753024000,6.33
1627753084000,6.35
1627753144000,6.35
1627753204000,6.35
1627753264000,6.35
1627753324000,6.35
1627753384000,6.36
1627753444000,6.36
1627753504000,6.37
1627753564000,6.38
1627753624000,6.36
1627753684000,6.36
1627753744000,6.35
1627753804000,6.34
1627753864000,6.33
1627753924000,6.33
1627753984000,6.33
1627754044000,6.34
1627754104000,6.35
1627754164000,6.35
1627754224000,6.37
1627754284000,6.36
1627754344000,6.36
1627754404000,6.36
1627754464000,6.38
1627754524000,6.39
1627754584000,6.38
1627754644000,6.37
1627754704000,6.37
1627754764000,6.35
1627754824000,6.34
1627754884000,6.33
1627754944000,6.31
1627755004000,6.31
1627755064000,6.31
1627755124000,6.29
1627755184000,6.31
1627755244000,6.3
1627755304000,6.3
1627755364000,6.3
1627755424000,6.29
1627755484000,6.29
1627755544000,6.29
1627755604000,6.27
1627755664000,6.27
1627755724000,6.27
1627755784000,6.26
1627755844000,6.24
1627755904000,6.26
1627755964000,6.27
1627756024000,6.3
1627756084000,6.33
1627756144000,6.33
1627756204000,6.32
1627756264000,6.32
1627756324000,6.3
1627756384000,6.3
1627756444000,6.29
1627756504000,6.3
1627756564000,6.3
1627756624000,6.31
1627756684000,6.3
1627756744000,6.3
1627756804000,6.35
1627756864000,6.36
1627756924000,6.35
1627756984000,6.35
1627757044000,6.37
1627757104000,6.34
1627757164000,6.34
1627757224000,6.33
1627757284000,6.36
1627757344000,6.35
1627757404000,6.34
1627757464000,6.35
1627757524000,6.34
1627757584000,6.33
1627757644000,6.35
1627757704000,6.34
1627757764000,6.35
1627757824000,6.35
1627757884000,6.33
1627757944000,6.35
1627758004000,6.34
1627758064000,6.33
1627758124000,6.33
1627758184000,6.33
1627758244000,6.32
1627758304000,6.31
1627758364000,6.32
1627758424000,6.3
1627758484000,6.31
1627758544000,6.29
1627758604000,6.3
1627758664000,6.31
1627758724000,6.34
1627758784000,6.43
1627758844000,6.49
1627758904000,6.51
1627758964000,6.48
1627759024000,6.47
1627759084000,6.45
1627759144000,6.44
1627759204000,6.43
1627759264000,6.42
1627759324000,6.41
1627759384000,6.44
1627759444000,6.45
1627759504000,6.45
1627759564000,6.42
1627759624000,6.42
1627759684000,6.41
1627759744000,6.4
1627759804000,6.38
1627759864000,6.38
1627759924000,6.45
1627759984000,6.5
1627760044000,6.57
1627760104000,6.61
1627760164000,6.64
1627760224000,6.68
1627760284000,6.71
1627760344000,6.75
1627760404000,6.81
1627760464000,6.85
1627760524000,6.93
1627760584000,7.02
1627760644000,7.05
1627760704000,7.01
1627760764000,6.97
1627760824000,6.93
1627760884000,6.88
1627760944000,6.84
1627761004000,6.83
1627761064000,6.86
1627761124000,6.82
1627761184000,6.78
1627761244000,6.74
1627761304000,6.71
1627761364000,6.66
1627761424000,6.64
1627761484000,6.62
1627761544000,6.62
1627761604000,6.6
1627761664000,6.56
1627761724000,6.57
1627761784000,6.55
1627761844000,6.52
1627761904000,6.49
1627761964000,6.48
1627762024000,6.47
1627762084000,6.46
1627762144000,6.45
1627762204000,6.43
1627762264000,6.45
1627762324000,6.43
1627762384000,6.41
1627762444000,6.4
1627762504000,6.4
1627762564000,6.39
1627762624000,6.37
1627762684000,6.39
1627762744000,6.38
1627762804000,6.36
1627762864000,6.36
1627762924000,6.38
1627762984000,6.36
1627763044000,6.37
1627763104000,6.36
1627763164000,6.37
1627763224000,6.38
1627763284000,6.37
1627763344000,6.37
1627763404000,6.36
1627763464000,6.36
1627763524000,6.35
1627763584000,6.35
1627763644000,6.36
1627763704000,6.35
1627763764000,6.33
1627763824000,6.33
1627763884000,6.34
1627763944000,6.36
1627764004000,6.38
1627764064000,6.37
1627764124000,6.35
1627764184000,6.35
1627764244000,6.34
1627764304000,6.35
1627764364000,6.35
1627764424000,6.34
1627764484000,6.34
1627764544000,6.31
1627764604000,6.32
1627764664000,6.32
1627764724000,6.31
1627764784000,6.29
1627764844000,6.33
1627764904000,6.32
1627764964000,6.31
1627765024000,6.3
1627765084000,6.31
1627765144000,6.31
1627765204000,6.3
1627765264000,6.3
1627765324000,6.3
1627765384000,6.3
1627765444000,6.3
1627765504000,6.32
1627765564000,6.31
1627765624000,6.36
1627765684000,6.39
1627765744000,6.36
1627765804000,6.35
1627765864000,6.35
1627765924000,6.35
1627765984000,6.34
1627766044000,6.35
1627766104000,6.34
1627766164000,6.34
1627766224000,6.33
1627766284000,6.33
1627766344000,6.35
1627766404000,6.33
1627766464000,6.35
1627766524000,6.35
1627766584000,6.34
1627766644000,6.36
1627766704000,6.36
1627766764000,6.35
1627766824000,6.36
1627766884000,6.36
1627766944000,6.37
1627767004000,6.42
1627767064000,6.39
1627767124000,6.39
1627767184000,6.38
1627767244000,6.38
1627767304000,6.37
1627767364000,6.36
1627767424000,6.36
1627767484000,6.36
1627767544000,6.36
1627767604000,6.37
1627767664000,6.37
1627767724000,6.35
1627767784000,6.38
1627767844000,6.36
1627767904000,6.35
1627767964000,6.34
1627768024000,6.34
1627768084000,6.33
1627768144000,6.33
1627768204000,6.35
1627768264000,6.36
1627768324000,6.35
1627768384000,6.34
1627768444000,6.33
1627768504000,6.34
1627768564000,6.35
1627768624000,6.35
1627768684000,6.36
1627768744000,6.37
1627768804000,6.35
1627768864000,6.37
1627768924000,6.37
1627768984000,6.35
1627769044000,6.35
1627769104000,6.35
1627769164000,6.36
1627769224000,6.35
1627769284000,6.33
1627769344000,6.34
1627769404000,6.33
1627769464000,6.31
1627769524000,6.34
1627769584000,6.32
1627769644000,6.33
1627769704000,6.3
1627769764000,6.3
1627769824000,6.32
1627769884000,6.34
1627769944000,6.33
1627770004000,6.34
1627770064000,6.34
1627770124000,6.35
1627770184000,6.34
1627770244000,6.36
1627770304000,6.35
1627770364000,6.36
1627770424000,6.38
1627770484000,6.37
1627770544000,6.37
1627770604000,6.42
1627770664000,6.41
1627770724000,6.43
1627770784000,6.42
1627770844000,6.43
1627770904000,6.42
1627770964000,6.41
1627771024000,6.4
1627771084000,6.4
1627771144000,6.37
1627771204000,6.38
1627771264000,6.39
1627771324000,6.41
1627771384000,6.39
1627771444000,6.41
1627771504000,6.41
1627771564000,6.41
1627771624000,6.39
1627771684000,6.38
1627771744000,6.38
1627771804000,6.37
1627771864000,6.38
1627771924000,6.37
1627771984000,6.36
1627772044000,6.36
1627772104000,6.37
1627772164000,6.37
1627772224000,6.36
1627772284000,6.36
1627772344000,6.35
1627772404000,6.36
1627772464000,6.37
1627772524000,6.36
1627772584000,6.36
1627772644000,6.36
1627772704000,6.36
1627772764000,6.37
1627772824000,6.36
1627772884000,6.36
1627772944000,6.36
1627773004000,6.37
1627773064000,6.36
1627773124000,6.39
1627773184000,6.37
1627773244000,6.36
1627773304000,6.35
1627773364000,6.34
1627773424000,6.34
1627773484000,6.35
1627773544000,6.36
1627773604000,6.36
1627773664000,6.34
1627773724000,6.33
1627773784000,6.31
1627773844000,6.33
1627773904000,6.32
1627773964000,6.31
1627774024000,6.31
1627774084000,6.3
1627774144000,6.29
1627774204000,6.27
1627774264000,6.28
1627774324000,6.33
1627774384000,6.32
1627774444000,6.31
1627774504000,6.32
1627774564000,6.34
1627774624000,6.37
1627774684000,6.37
1627774744000,6.36
1627774804000,6.35
1627774864000,6.37
1627774924000,6.36
1627774984000,6.35
1627775044000,6.36
1627775104000,6.36
1627775164000,6.34
1627775224000,6.34
1627775284000,6.34
1627775344000,6.33
1627775404000,6.34
1627775464000,6.32
1627775524000,6.32
1627775584000,6.33
1627775644000,6.35
1627775704000,6.34
1627775764000,6.33
1627775824000,6.33
1627775884000,6.33
1627775944000,6.32
1627776004000,6.32
1627776064000,6.34
1627776124000,6.39
1627776184000,6.39
1627776244000,6.4
1627776304000,6.38
1627776364000,6.37
1627776424000,6.36
1627776484000,6.38
1627776544000,6.36
1627776604000,6.36
1627776664000,6.36
1627776724000,6.37
1627776784000,6.36
1627776844000,6.38
1627776904000,6.4
1627776964000,6.43
1627777024000,6.43
1627777084000,6.44
1627777144000,6.46
1627777204000,6.45
1627777264000,6.43
1627777324000,6.45
1627777384000,6.46
