timestamp,value
1626278403000,0.9157
1626278463000,0.9189
1626278523000,0.9155
1626278583000,0.9187
1626278643000,0.922
1626278703000,0.9158
1626278763000,0.9191
1626278823000,0.9195
1626278883000,0.9162
1626278943000,0.9163
1626279003000,0.9163
1626279063000,0.9164
1626279123000,0.9165
1626279183000,0.9167
1626279243000,0.9165
1626279303000,0.9166
1626279363000,0.9167
1626279423000,0.917
1626279483000,0.9168
1626279543000,0.92
1626279603000,0.9226
1626279663000,0.9169
1626279723000,0.92
1626279783000,0.917
1626279843000,0.9201
1626279903000,0.9202
1626279963000,0.9171
1626280023000,0.9173
1626280083000,0.9203
1626280143000,0.9176
1626280203000,0.9174
1626280263000,0.9176
1626280323000,0.9205
1626280383000,0.9237
1626280443000,0.9208
1626280503000,0.9207
1626280563000,0.9217
1626280623000,0.9178
1626280683000,0.9181
1626280743000,0.9212
1626280803000,0.9182
1626280863000,0.9214
1626280923000,0.9214
1626280983000,0.9239
1626281043000,0.9242
1626281103000,0.9212
1626281163000,0.9183
1626281223000,0.9215
1626281283000,0.9187
1626281343000,0.9216
1626281403000,0.9187
1626281463000,0.9189
1626281523000,0.9221
1626281583000,0.9219
1626281643000,0.9277
1626281703000,0.9253
1626281763000,0.9253
1626281823000,0.9219
1626281883000,0.922
1626281943000,0.919
1626282003000,0.922
1626282063000,0.9189
1626282123000,0.9191
1626282183000,0.9223
1626282243000,0.9225
1626282303000,0.9228
1626282363000,0.9224
1626282423000,0.9194
1626282483000,0.9194
1626282543000,0.9227
1626282603000,0.9228
1626282663000,0.9261
1626282723000,0.9227
1626282783000,0.9227
1626282843000,0.9228
1626282903000,0.9197
1626282963000,0.9229
1626283023000,0.9199
1626283083000,0.9231
1626283143000,0.9228
1626283203000,0.9275
1626283263000,0.9232
1626283323000,0.9246
1626283383000,0.9205
1626283443000,0.9201
1626283503000,0.9234
1626283563000,0.9235
1626283623000,0.9321
1626283683000,0.9207
1626283743000,0.9203
1626283803000,0.9238
1626283863000,0.9207
1626283923000,0.9237
1626283983000,0.9268
1626284043000,0.9258
1626284103000,0.9239
1626284163000,0.9266
1626284223000,0.9273
1626284283000,0.9243
1626284343000,0.9213
1626284403000,0.9259
1626284463000,0.9216
1626284523000,0.9243
1626284583000,0.9214
1626284643000,0.9238
1626284703000,0.9245
1626284763000,0.9214
1626284823000,0.9245
1626284883000,0.9246
1626284943000,0.9248
1626285003000,0.922
1626285063000,0.9248
1626285123000,0.9248
1626285183000,0.9244
1626285243000,0.9303
1626285303000,0.925
1626285363000,0.9283
1626285423000,0.9221
1626285483000,0.9221
1626285543000,0.928
1626285603000,0.9253
1626285663000,0.922
1626285723000,0.9255
1626285783000,0.9224
1626285843000,0.9253
1626285903000,0.9226
1626285963000,0.9227
1626286023000,0.9227
1626286083000,0.9227
1626286143000,0.9258
1626286203000,0.9282
1626286263000,0.9308
1626286323000,0.9292
1626286383000,0.9286
1626286443000,0.9284
1626286503000,0.9254
1626286563000,0.9255
1626286623000,0.9289
1626286683000,0.929
1626286743000,0.9308
1626286803000,0.9292
1626286863000,0.9259
1626286923000,0.9255
1626286983000,0.9288
1626287043000,0.9288
1626287103000,0.9255
1626287163000,0.926
1626287223000,0.926
1626287283000,0.9289
1626287343000,0.9291
1626287403000,0.9261
1626287463000,0.929
1626287523000,0.9323
1626287583000,0.9323
1626287643000,0.9261
1626287703000,0.9296
1626287763000,0.9263
1626287823000,0.9294
1626287883000,0.9264
1626287943000,0.9326
1626288003000,0.93
1626288063000,0.9266
1626288123000,0.9267
1626288183000,0.9267
1626288243000,0.9265
1626288303000,0.9267
1626288363000,0.93
1626288423000,0.93
1626288483000,0.9268
1626288543000,0.9299
1626288603000,0.9313
1626288663000,0.9301
1626288723000,0.9271
1626288783000,0.9268
1626288843000,0.9303
1626288903000,0.9304
1626288963000,0.9334
1626289023000,0.9337
1626289083000,0.9306
1626289143000,0.9306
1626289203000,0.9338
1626289263000,0.9308
1626289323000,0.9274
1626289383000,0.9308
1626289443000,0.9307
1626289503000,0.9331
1626289563000,0.9341
1626289623000,0.931
1626289683000,0.9282
1626289743000,0.9312
1626289803000,0.9372
1626289863000,0.9465
1626289923000,0.9348
1626289983000,0.9371
1626290043000,0.9316
1626290103000,0.9286
1626290163000,0.933
1626290223000,0.9288
1626290283000,0.929
1626290343000,0.9288
1626290403000,0.9288
1626290463000,0.935
1626290523000,0.9289
1626290583000,0.9319
1626290643000,0.9352
1626290703000,0.9321
1626290763000,0.9339
1626290823000,0.9323
1626290883000,0.9323
1626290943000,0.9291
1626291003000,0.9412
1626291063000,0.9365
1626291123000,0.9411
1626291183000,0.9467
1626291243000,0.9546
1626291303000,0.9596
1626291363000,0.9652
1626291423000,0.9673
1626291483000,0.9755
1626291543000,0.9836
1626291603000,0.9753
1626291663000,0.9602
1626291723000,0.9618
1626291783000,0.9203
1626291843000,0.9117
1626291903000,0.9117
1626291963000,0.9087
1626292023000,0.909
1626292083000,0.9088
1626292143000,0.9119
1626292203000,0.915
1626292263000,0.9117
1626292323000,0.9088
1626292383000,0.9119
1626292443000,0.909
1626292503000,0.909
1626292563000,0.9124
1626292623000,0.912
1626292683000,0.9102
1626292743000,0.9119
1626292803000,0.9799
1626292863000,0.977
1626292923000,0.9741
1626292983000,0.9803
1626293043000,0.9741
1626293103000,0.977
1626293163000,0.9774
1626293223000,0.9733
1626293283000,0.97
1626293343000,0.9763
1626293403000,0.8452
1626293463000,0.8453
1626293523000,0.8455
1626293583000,0.8546
1626293643000,0.8513
1626293703000,0.8568
1626293763000,0.8546
1626293823000,0.8515
1626293883000,0.8519
1626293943000,0.8519
1626294003000,0.855
1626294063000,0.8518
1626294123000,0.8521
1626294183000,0.8547
1626294243000,0.8518
1626294303000,0.855
1626294363000,0.8552
1626294423000,0.8551
1626294483000,0.8609
1626294543000,0.8519
1626294603000,0.8522
1626294663000,0.8522
1626294723000,0.8525
1626294783000,0.8585
1626294843000,0.8524
1626294903000,0.8523
1626294963000,0.8555
1626295023000,0.8556
1626295083000,0.861
1626295143000,0.8555
1626295203000,0.8559
1626295263000,0.857
