timestamp,value
1627747234000,6.2642
1627747294000,6.2983
1627747354000,6.3053
1627747414000,6.2831
1627747474000,6.3167
1627747534000,6.2878
1627747594000,6.2383
1627747654000,6.308
1627747714000,6.3025
1627747774000,6.327999999999999
1627747834000,6.2945
1627747894000,6.2905
1627747954000,6.2799
1627748014000,6.2859
1627748074000,6.3232
1627748134000,6.2966
1627748194000,6.2493
1627748254000,6.2618
1627748314000,6.2703
1627748374000,6.3163
1627748434000,6.3101
1627748494000,6.3391
1627748554000,6.2728
1627748614000,6.2314
1627748674000,6.2985
1627748734000,6.2986
1627748794000,6.3107
1627748854000,6.2774
1627748914000,6.265
1627748974000,6.289
1627749034000,6.297999999999999
1627749094000,6.3139
1627749154000,6.2913
1627749214000,6.2885
1627749274000,6.3023
1627749334000,6.2474
1627749394000,6.2445
1627749454000,6.2113
1627749514000,6.2856
1627749574000,6.2732
1627749634000,6.3087
1627749694000,6.2997
1627749754000,6.2688
1627749814000,6.2246
1627749874000,6.2854
1627749934000,6.2796
1627749994000,6.2913
1627750054000,6.3084
1627750114000,6.2197
1627750174000,6.2022
1627750234000,6.3055
1627750294000,6.3007
1627750354000,6.2762
1627750414000,6.2594
1627750474000,6.1942
1627750534000,6.2727
1627750594000,6.2791
1627750654000,6.3169
1627750714000,6.3039
1627750774000,6.247000000000001
1627750834000,6.3213
1627750894000,6.2914
1627750954000,6.2438
1627751014000,6.2753
1627751074000,6.2671
1627751134000,6.2761
1627751194000,6.3143
1627751254000,6.3046
1627751314000,6.3033
1627751374000,6.2741
1627751434000,6.2624
1627751494000,6.3169
1627751554000,6.2743
1627751614000,6.2714
1627751674000,6.2647
1627751734000,6.277
1627751794000,6.3208
1627751854000,6.3145
1627751914000,6.3017
1627751974000,6.2676
1627752034000,6.2461
1627752094000,6.3114
1627752154000,6.3014
1627752214000,6.2772
1627752274000,6.252999999999999
1627752334000,6.2678
1627752394000,6.2664
1627752454000,6.2786
1627752514000,6.305
1627752574000,6.3224
1627752634000,6.2807
1627752694000,6.2506
1627752754000,6.3179
1627752814000,6.2829
1627752874000,6.3045
1627752934000,6.2769
1627752994000,6.3142
1627753054000,6.3142
1627753114000,6.3322
1627753174000,6.2853
1627753234000,6.257999999999999
1627753294000,6.3079
1627753354000,6.2944
1627753414000,6.2925
1627753474000,6.2673
1627753534000,6.2898
1627753594000,6.32
1627753654000,6.2549
1627753714000,6.3304
1627753774000,6.2428
1627753834000,6.2538
1627753894000,6.2813
1627753954000,6.2688
1627754014000,6.289
1627754074000,6.2243
1627754134000,6.2113
1627754194000,6.3267
1627754254000,6.2466
1627754314000,6.2799
1627754374000,6.2497
1627754434000,6.3091
1627754494000,6.2585
1627754554000,6.2313
1627754614000,6.2443
1627754674000,6.2929
1627754734000,6.2707
1627754794000,6.2644
1627754854000,6.2468
1627754914000,6.2831
1627754974000,6.3225
1627755034000,6.274
1627755094000,6.2491
1627755154000,6.2752
1627755214000,6.2918
1627755274000,6.324
1627755334000,6.3
1627755394000,6.2372
1627755454000,6.2273
1627755514000,6.2387
1627755574000,6.2841
1627755634000,6.2878
1627755694000,6.3159
1627755754000,6.2642
1627755814000,6.2914
1627755874000,6.321000000000001
1627755934000,6.3084
1627755994000,6.3114
1627756054000,6.2702
1627756114000,6.2888
1627756174000,6.2658
1627756234000,6.3264
1627756294000,6.2601
1627756354000,6.2542
1627756414000,6.2454
1627756474000,6.2703
1627756534000,6.2434
1627756594000,6.2913
1627756654000,6.3049
1627756714000,6.3138
1627756774000,6.3144
1627756834000,6.3235
1627756894000,6.3159
1627756954000,6.273
1627757014000,6.2932
1627757074000,6.32
1627757134000,6.325
1627757194000,6.3024
1627757254000,6.223
1627757314000,6.3122
1627757374000,6.3125
1627757434000,6.2873
1627757494000,6.2655
1627757554000,6.2698
1627757614000,6.314
1627757674000,6.2641
1627757734000,6.2348
1627757794000,6.3096
1627757854000,6.2802
1627757914000,6.2853
1627757974000,6.3207
1627758034000,6.2711
1627758094000,6.3082
1627758154000,6.2743
1627758214000,6.3034
1627758274000,6.278
1627758334000,6.276
1627758394000,6.316
1627758454000,6.2439
1627758514000,6.2457
1627758574000,6.2693
1627758634000,6.3854
1627758694000,6.5531
1627758754000,7.1885
1627758814000,7.2349
1627758874000,7.1474
1627758934000,6.3285
1627758994000,6.3024
1627759054000,6.2753
1627759114000,6.3166
1627759174000,6.2673
1627759234000,6.2738
1627759294000,6.3167
1627759354000,6.2507
1627759414000,6.2452
1627759474000,6.3279
1627759534000,6.2551
1627759594000,6.2771
1627759654000,6.2993
1627759714000,6.2318
1627759774000,6.296
1627759834000,6.3389999999999995
1627759894000,6.7417
1627759954000,7.0679
1627760014000,7.0434
1627760074000,7.0703
1627760134000,7.0763
1627760194000,7.0773
1627760254000,7.0682
1627760314000,7.0632
1627760374000,7.0669
1627760434000,7.0609
1627760494000,7.0693
1627760554000,7.0751
1627760614000,7.0766
1627760674000,7.0659
1627760734000,7.0636
1627760794000,7.0508
1627760854000,6.8835
1627760914000,6.4067
1627760974000,6.4247
1627761034000,6.3872
1627761094000,6.3038
1627761154000,6.3754
1627761214000,7.0434
1627761274000,7.0708
1627761334000,7.0697
1627761394000,7.0562
1627761454000,7.0317
1627761514000,7.0142
1627761574000,6.6856
1627761634000,6.3388
1627761694000,6.1979999999999995
1627761754000,6.3331
1627761814000,6.242000000000001
1627761874000,6.3081
1627761934000,6.2625
1627761994000,6.2678
1627762054000,6.2507
1627762114000,6.2985
1627762174000,6.2207
1627762234000,6.3057
1627762294000,6.2834
1627762354000,6.2879
1627762414000,6.3264
1627762474000,6.2709
1627762534000,6.2872
1627762594000,6.2239
1627762654000,6.2576
1627762714000,6.3023
1627762774000,6.2913
1627762834000,6.2498
1627762894000,6.2911
1627762954000,6.3265
1627763014000,6.2851
1627763074000,6.2157
1627763134000,6.2315
1627763194000,6.3054
1627763254000,6.2336
1627763314000,6.3041
1627763374000,6.292999999999999
1627763434000,6.2475
1627763494000,6.2894
1627763554000,6.2657
1627763614000,6.2843
1627763674000,6.2701
1627763734000,6.2649
1627763794000,6.3067
1627763854000,6.2937
1627763914000,6.2932
1627763974000,6.3287
1627764034000,6.2704
1627764094000,6.3148
1627764154000,6.3023
1627764214000,6.3327
1627764274000,6.2819
1627764334000,6.2555
1627764394000,6.3014
1627764454000,6.2696
1627764514000,6.2467
1627764574000,6.3048
1627764634000,6.184
1627764694000,6.3134
1627764754000,6.2633
1627764814000,6.2339
1627764874000,6.2974
1627764934000,6.272
1627764994000,6.2998
1627765054000,6.3015
1627765114000,6.2837
1627765174000,6.3017
1627765234000,6.2681
1627765294000,6.2887
1627765354000,6.2607
1627765414000,6.2995
1627765474000,6.2719
1627765534000,6.2741
1627765594000,6.3078
1627765654000,6.2707
1627765714000,6.2694
1627765774000,6.2771
1627765834000,6.2829
1627765894000,6.2888
1627765954000,6.3206
1627766014000,6.297000000000001
1627766074000,6.2384
1627766134000,6.3021
1627766194000,6.2772
1627766254000,6.3073
1627766314000,6.3389
1627766374000,6.3098
1627766434000,6.2924
1627766494000,6.3013
1627766554000,6.2752
1627766614000,6.2437
1627766674000,6.3311
1627766734000,6.2911
1627766794000,6.2754
1627766854000,6.3
1627766914000,6.2843
1627766974000,6.2603
1627767034000,6.2871
1627767094000,6.2882
1627767154000,6.3132
1627767214000,6.2878
1627767274000,6.2703
1627767334000,6.3394
1627767394000,6.2314
1627767454000,6.2891
1627767514000,6.3129
1627767574000,6.2994
1627767634000,6.2823
1627767694000,6.281000000000001
1627767754000,6.3067
1627767814000,6.2827
1627767874000,6.2169
1627767934000,6.2933
1627767994000,6.2716
1627768054000,6.2763
1627768114000,6.2862
1627768174000,6.2635
1627768234000,6.3175
1627768294000,6.2619
1627768354000,6.2951
1627768414000,6.2584
1627768474000,6.2566
1627768534000,6.2667
1627768594000,6.2722
1627768654000,6.2781
1627768714000,6.3214
1627768774000,6.3251
1627768834000,6.2691
1627768894000,6.2397
1627768954000,6.2065
1627769014000,6.3134
1627769074000,6.3259
1627769134000,6.2523
1627769194000,6.2787
1627769254000,6.2442
1627769314000,6.3229
1627769374000,6.3152
1627769434000,6.3086
1627769494000,6.2906
1627769554000,6.2869
1627769614000,6.279
1627769674000,6.2351
1627769734000,6.3214
1627769794000,6.3582
1627769854000,6.2777
1627769914000,6.2999
1627769974000,6.2987
1627770034000,6.2371
1627770094000,6.2809
1627770154000,6.2814
1627770214000,6.3038
1627770274000,6.2934
1627770334000,6.3389
1627770394000,6.2917
1627770454000,6.2273
1627770514000,6.4093
1627770574000,6.271
1627770634000,6.3196
1627770694000,6.3188
1627770754000,6.2587
1627770814000,6.3058
1627770874000,6.2949
1627770934000,6.2671
1627770994000,6.272
1627771054000,6.2788
1627771114000,6.3425
1627771174000,6.3164
1627771234000,6.3192
1627771294000,6.3088
1627771354000,6.2878
1627771414000,6.3287
1627771474000,6.2712
1627771534000,6.2894
1627771594000,6.2697
1627771654000,6.3033
1627771714000,6.3125
1627771774000,6.3039
1627771834000,6.3028
1627771894000,6.2976
1627771954000,6.2045
1627772014000,6.278
1627772074000,6.3009
1627772134000,6.3148
1627772194000,6.3289
1627772254000,6.2764
1627772314000,6.2836
1627772374000,6.2448
1627772434000,6.2588
1627772494000,6.263999999999999
1627772554000,6.2539
1627772614000,6.3057
1627772674000,6.3222
1627772734000,6.3236
1627772794000,6.3125
1627772854000,6.3057
1627772914000,6.3086
1627772974000,6.2718
1627773034000,6.311
1627773094000,6.2188
1627773154000,6.2757
1627773214000,6.2936
1627773274000,6.3295
1627773334000,6.3172
1627773394000,6.2878
1627773454000,6.2232
1627773514000,6.2626
1627773574000,6.2941
1627773634000,6.2933
1627773694000,6.2813
1627773754000,6.2826
1627773814000,6.2844
1627773874000,6.3083
1627773934000,6.2515
1627773994000,6.2572
1627774054000,6.2183
1627774114000,6.2394
1627774174000,6.2507
1627774234000,6.2436
1627774294000,6.2479
1627774354000,6.2943
1627774414000,6.2919
1627774474000,6.2608
1627774534000,6.2516
1627774594000,6.3074
1627774654000,6.3015
1627774714000,6.2919
1627774774000,6.2558
1627774834000,6.3185
1627774894000,6.2654
1627774954000,6.3182
1627775014000,6.2637
1627775074000,6.2767
1627775134000,6.2519
1627775194000,6.276
1627775254000,6.268
1627775314000,6.303999999999999
1627775374000,6.2251
1627775434000,6.2764
1627775494000,6.247999999999999
1627775554000,6.2644
1627775614000,6.3089
1627775674000,6.2603
1627775734000,6.31
1627775794000,6.2943
1627775854000,6.2497
1627775914000,6.2774
1627775974000,6.301
1627776034000,6.2639
1627776094000,6.3044
1627776154000,6.3113
1627776214000,6.2115
1627776274000,6.3091
1627776334000,6.2746
1627776394000,6.3173
1627776454000,6.3041
