timestamp,value
1627747233000,883038257152
1627747293000,883037089792
1627747353000,883035955200
1627747413000,883034857472
1627747473000,883033612288
1627747533000,883032420352
1627747593000,883031552000
1627747653000,883030360064
1627747713000,883029098496
1627747773000,883027795968
1627747833000,883026628608
1627747893000,883025465344
1627747953000,883024359424
1627748013000,883023253504
1627748073000,883021991936
1627748133000,883020763136
1627748193000,883019730944
1627748253000,883018756096
1627748313000,883017707520
1627748373000,883016437760
1627748433000,883015176192
1627748493000,883013922816
1627748553000,883012874240
1627748613000,883012001792
1627748673000,883010826240
1627748733000,883009638400
1627748793000,883008438272
1627748853000,883007369216
1627748913000,883006345216
1627748973000,883005198336
1627749033000,883004022784
1627749093000,883002798080
1627749153000,883001610240
1627749213000,883000422400
1627749273000,882999197696
1627749333000,882998239232
1627749393000,882997202944
1627749453000,882996379648
1627749513000,882995265536
1627749573000,882994098176
1627749633000,882992930816
1627749693000,882991697920
1627749753000,882990686208
1627749813000,882989830144
1627749873000,882988621824
1627749933000,882987507712
1627749993000,882986442752
1627750053000,882985218048
1627750113000,882984353792
1627750173000,882983550976
1627750233000,882982354944
1627750293000,882981126144
1627750353000,882979979264
1627750413000,882978975744
1627750473000,882978299904
1627750533000,882977218560
1627750593000,882976067584
1627750653000,882974830592
1627750713000,882973650944
1627750773000,882972614656
1627750833000,882971418624
1627750893000,882970222592
1627750953000,882969280512
1627751013000,882968170496
1627751073000,882967080960
1627751133000,882965962752
1627751193000,882964713472
1627751253000,882963447808
1627751313000,882962255872
1627751373000,882961162240
1627751433000,882960109568
1627751493000,882958893056
1627751553000,882957811712
1627751613000,882956591104
1627751673000,882955550720
1627751733000,882954493952
1627751793000,882953236480
1627751853000,882951933952
1627751913000,882950684672
1627751973000,882949619712
1627752033000,882948706304
1627752093000,882947473408
1627752153000,882946240512
1627752213000,882945130496
1627752273000,882944098304
1627752333000,882942976000
1627752393000,882941923328
1627752453000,882940891136
1627752513000,882939703296
1627752573000,882938421248
1627752633000,882937278464
1627752693000,882936213504
1627752753000,882934992896
1627752813000,882933796864
1627752873000,882932563968
1627752933000,882931478528
1627752993000,882930286592
1627753053000,882929053696
1627753113000,882927796224
1627753173000,882926608384
1627753233000,882925572096
