timestamp,value
1626278434000,7.1964
1626278494000,7.1528
1626278554000,7.1825
1626278614000,7.1576
1626278674000,7.1854
1626278734000,7.1776
1626278794000,7.1881
1626278854000,7.201
1626278914000,7.1675
1626278974000,7.1459
1626279034000,7.1868
1626279094000,7.1697
1626279154000,7.1798
1626279214000,7.1423
1626279274000,7.1916
1626279334000,7.1579
1626279394000,7.1816
1626279454000,7.1525
1626279514000,7.1446
1626279574000,7.1356
1626279634000,7.1623
1626279694000,7.1902
1626279754000,7.1826
1626279814000,7.1711
1626279874000,7.2004
1626279934000,7.1667
1626279994000,7.1489
1626280054000,7.1663
1626280114000,7.1709
1626280174000,7.1552
1626280234000,7.1891
1626280294000,7.1824
1626280354000,7.1705
1626280414000,7.1561
1626280474000,7.1837
1626280534000,7.1842
1626280594000,7.1792
1626280654000,7.1801
1626280714000,7.2048
1626280774000,7.1343
1626280834000,7.1737
1626280894000,7.154
1626280954000,7.1795
1626281014000,7.1923
1626281074000,7.169
1626281134000,7.1361
1626281194000,7.1906
1626281254000,7.2025
1626281314000,7.1766
1626281374000,7.17
1626281434000,7.1684
1626281494000,7.1846
1626281554000,7.1932
1626281614000,7.1648
1626281674000,7.1642
1626281734000,7.1615
1626281794000,7.1754
1626281854000,7.1229
1626281914000,7.145
1626281974000,7.1658
1626282034000,7.208
1626282094000,7.171
1626282154000,7.1759
1626282214000,7.1825
1626282274000,7.1593
1626282334000,7.1453
1626282394000,7.1654
1626282454000,7.1419
1626282514000,7.1976
1626282574000,7.1731
1626282634000,7.1405
1626282694000,7.1882
1626282754000,7.1644
1626282814000,7.1908
1626282874000,7.158
1626282934000,7.1657
1626282994000,7.1716
1626283054000,7.1684
1626283114000,7.1913
1626283174000,7.169
1626283234000,7.1665
1626283294000,7.1363
1626283354000,7.1902
1626283414000,7.1838
1626283474000,7.1984
1626283534000,7.1762
1626283594000,7.1857
1626283654000,7.1789
1626283714000,7.1794
1626283774000,7.1436
1626283834000,7.1623
1626283894000,7.1642
1626283954000,7.2042
1626284014000,7.1527
1626284074000,7.154
1626284134000,7.1801
1626284194000,7.1881
1626284254000,7.1833
1626284314000,7.1913
1626284374000,7.1771
1626284434000,7.1848
1626284494000,7.1859
1626284554000,7.1883
1626284614000,7.1722
1626284674000,7.1626
1626284734000,7.1747
1626284794000,7.1876
1626284854000,7.1862
1626284914000,7.188
1626284974000,7.1615
1626285034000,7.1866
1626285094000,7.1444
1626285154000,7.1868
1626285214000,7.1863
1626285274000,7.1735
1626285334000,7.1802
1626285394000,7.178
1626285454000,7.1764
1626285514000,7.185
1626285574000,7.1684
1626285634000,7.1689
1626285694000,7.171
1626285754000,7.2006
1626285814000,7.1573
1626285874000,7.1577
1626285934000,7.1868
1626285994000,7.1541
1626286054000,7.1837
1626286114000,7.1646
1626286174000,7.1825
1626286234000,7.1759
1626286294000,7.1658
1626286354000,7.1395
1626286414000,7.16
1626286474000,7.1819
1626286534000,7.1692
1626286594000,7.1739
1626286654000,7.1843
1626286714000,7.156
1626286774000,7.1904
1626286834000,7.1357
1626286894000,7.1585
1626286954000,7.1654
1626287014000,7.1894
1626287074000,7.1599
1626287134000,7.1554
1626287194000,7.1678
1626287254000,7.1767
1626287314000,7.1689
1626287374000,7.1603
1626287434000,7.1443
1626287494000,7.1771
1626287554000,7.1761
1626287614000,7.149
1626287674000,7.1727
1626287734000,7.1358
1626287794000,7.1802
1626287854000,7.1905
1626287914000,7.1657
1626287974000,7.165
1626288034000,7.1706
1626288094000,7.1442
1626288154000,7.1792
1626288214000,7.1691
1626288274000,7.1672
1626288334000,7.1609
1626288394000,7.1577
1626288454000,7.1446
1626288514000,7.1564
1626288574000,7.1844
1626288634000,7.1379
1626288694000,7.1757
1626288754000,7.1472
1626288814000,7.1602
1626288874000,7.1596
1626288934000,7.1845
1626288994000,7.1786
1626289054000,7.1636
1626289114000,7.172
1626289174000,7.1556
1626289234000,7.1758
1626289294000,7.1588
1626289354000,7.1463
1626289414000,7.1648
1626289474000,7.1309
1626289534000,7.1401
1626289594000,7.1801
