timestamp,value
1627747254000,0.0044
1627747314000,0.0038
1627747374000,0.0036
1627747434000,0.0035
1627747494000,0.0038
1627747554000,0.0035
1627747614000,0.0036
1627747674000,0.0044
1627747734000,0.0044
1627747794000,0.0032
1627747854000,0.003
1627747914000,0.0034
1627747974000,0.0026
1627748034000,0.0033
1627748094000,0.0032
1627748154000,0.0036
1627748214000,0.0046
1627748274000,0.0025
1627748334000,0.0037
1627748394000,0.0041
1627748454000,0.0035
1627748514000,0.0035
1627748574000,0.0029
1627748634000,0.0027
1627748694000,0.0035
1627748754000,0.003
1627748814000,0.0033
1627748874000,0.0035
1627748934000,0.0032
1627748994000,0.0035
1627749054000,0.0037
1627749114000,0.0031
1627749174000,0.0039
1627749234000,0.003
1627749294000,0.0026
1627749354000,0.0032
1627749414000,0.0033
1627749474000,0.0037
1627749534000,0.0039
1627749594000,0.0041
1627749654000,0.0042
1627749714000,0.0047
1627749774000,0.0033
1627749834000,0.0031
1627749894000,0.0025
1627749954000,0.0018
1627750014000,0.0019
1627750074000,0.0025
1627750134000,0.0028
1627750194000,0.0025
1627750254000,0.0025
1627750314000,0.0024
1627750374000,0.0016
1627750434000,0.0017
1627750494000,0.0024
1627750554000,0.0019
1627750614000,0.0036
1627750674000,0.0029
1627750734000,0.0034
1627750794000,0.0032
1627750854000,0.0026
1627750914000,0.004
1627750974000,0.0039
1627751034000,0.0025
1627751094000,0.0022
1627751154000,0.0035
1627751214000,0.0033
1627751274000,0.0039
1627751334000,0.002
1627751394000,0.0021
1627751454000,0.0032
1627751514000,0.0033
1627751574000,0.0041
1627751634000,0.0031
1627751694000,0.0023
1627751754000,0.0032
1627751814000,0.0032
1627751874000,0.0034
1627751934000,0.0023
1627751994000,0.0033
1627752054000,0.0026
1627752114000,0.0034
1627752174000,0.0039
1627752234000,0.0034
1627752294000,0.0031
1627752354000,0.0042
1627752414000,0.0043
1627752474000,0.0042
1627752534000,0.0036
1627752594000,0.0041
1627752654000,0.0037
1627752714000,0.0034
1627752774000,0.0043
1627752834000,0.0043
1627752894000,0.004
1627752954000,0.004
1627753014000,0.0037
1627753074000,0.0045
1627753134000,0.0034
1627753194000,0.004
1627753254000,0.003
1627753314000,0.0033
1627753374000,0.003
1627753434000,0.0028
1627753494000,0.002
1627753554000,0.0028
1627753614000,0.0027
1627753674000,0.003
1627753734000,0.004
1627753794000,0.0029
1627753854000,0.0037
1627753914000,0.0039
1627753974000,0.0045
1627754034000,0.0033
1627754094000,0.0037
1627754154000,0.0036
1627754214000,0.0037
1627754274000,0.0027
1627754334000,0.0036
1627754394000,0.0037
1627754454000,0.0034
1627754514000,0.003
1627754574000,0.0037
1627754634000,0.0036
1627754694000,0.0034
1627754754000,0.0033
1627754814000,0.0043
1627754874000,0.0038
1627754934000,0.0036
1627754994000,0.0037
1627755054000,0.0032
1627755114000,0.0027
1627755174000,0.0044
1627755234000,0.0046
1627755294000,0.0045
1627755354000,0.0043
1627755414000,0.0033
1627755474000,0.0039
1627755534000,0.0032
1627755594000,0.0038
1627755654000,0.0042
1627755714000,0.0047
1627755774000,0.0042
1627755834000,0.0038
1627755894000,0.0035
1627755954000,0.0043
1627756014000,0.0039
1627756074000,0.0032
1627756134000,0.0045
1627756194000,0.0033
1627756254000,0.0036
1627756314000,0.0039
1627756374000,0.0024
1627756434000,0.0029
1627756494000,0.003
1627756554000,0.0032
1627756614000,0.0032
1627756674000,0.0032
1627756734000,0.0032
1627756794000,0.0037
1627756854000,0.0022
1627756914000,0.0032
1627756974000,0.0036
1627757034000,0.0043
1627757094000,0.0037
1627757154000,0.0035
1627757214000,0.003
1627757274000,0.0029
1627757334000,0.0033
1627757394000,0.004
1627757454000,0.0033
1627757514000,0.0034
1627757574000,0.003
1627757634000,0.0033
1627757694000,0.0042
1627757754000,0.0036
1627757814000,0.0038
1627757874000,0.0029
1627757934000,0.0032
1627757994000,0.0036
1627758054000,0.0029
1627758114000,0.0031
1627758174000,0.002
1627758234000,0.0027
1627758294000,0.0037
1627758354000,0.0026
1627758414000,0.0025
1627758474000,0.0037
1627758534000,0.0022
1627758594000,0.0025
1627758654000,0.0037
1627758714000,0.0022
1627758774000,0.003
1627758834000,0.0024
1627758894000,0.0032
1627758954000,0.0028
1627759014000,0.0036
1627759074000,0.0036
1627759134000,0.0032
1627759194000,0.0044
1627759254000,0.0034
1627759314000,0.0042
1627759374000,0.0038
1627759434000,0.004
1627759494000,0.0031
1627759554000,0.0021
1627759614000,0.003
1627759674000,0.0046
1627759734000,0.0029
1627759794000,0.003
1627759854000,0.0038
1627759914000,0.0037
1627759974000,0.0036
1627760034000,0.0034
1627760094000,0.0035
1627760154000,0.0029
1627760214000,0.0032
1627760274000,0.0045
1627760334000,0.0037
1627760394000,0.0028
1627760454000,0.0027
1627760514000,0.003
1627760574000,0.0036
1627760634000,0.0026
1627760694000,0.0039
1627760754000,0.0036
1627760814000,0.0033
1627760874000,0.003
1627760934000,0.0034
1627760994000,0.0044
1627761054000,0.004
1627761114000,0.0038
1627761174000,0.0037
1627761234000,0.0051
1627761294000,0.0043
1627761354000,0.0048
1627761414000,0.0054
1627761474000,0.0046
1627761534000,0.0036
1627761594000,0.0033
1627761654000,0.0038
1627761714000,0.0045
1627761774000,0.0032
1627761834000,0.0028
1627761894000,0.0031
1627761954000,0.0028
1627762014000,0.004
1627762074000,0.0044
1627762134000,0.0039
1627762194000,0.0038
1627762254000,0.0037
1627762314000,0.0043
1627762374000,0.0048
1627762434000,0.0036
1627762494000,0.0037
1627762554000,0.0037
1627762614000,0.0027
1627762674000,0.0034
1627762734000,0.004
1627762794000,0.0037
1627762854000,0.0039
1627762914000,0.0042
1627762974000,0.0032
1627763034000,0.0034
1627763094000,0.0035
1627763154000,0.004
1627763214000,0.0035
1627763274000,0.0047
1627763334000,0.0039
1627763394000,0.0033
1627763454000,0.0032
1627763514000,0.0046
1627763574000,0.0029
1627763634000,0.0038
1627763694000,0.0028
1627763754000,0.0043
1627763814000,0.0045
1627763874000,0.0051
1627763934000,0.0039
1627763994000,0.0051
1627764054000,0.0039
1627764114000,0.0036
1627764174000,0.0032
1627764234000,0.003
1627764294000,0.0051
1627764354000,0.0028
1627764414000,0.0038
1627764474000,0.0027
1627764534000,0.0025
1627764594000,0.0028
1627764654000,0.0025
1627764714000,0.0034
1627764774000,0.0032
1627764834000,0.0029
1627764894000,0.0041
1627764954000,0.0035
1627765014000,0.0049
1627765074000,0.0042
1627765134000,0.0055
1627765194000,0.0038
1627765254000,0.0033
1627765314000,0.0036
1627765374000,0.0035
1627765434000,0.0035
1627765494000,0.0037
1627765554000,0.0036
1627765614000,0.0041
1627765674000,0.0037
1627765734000,0.004
1627765794000,0.0027
1627765854000,0.0029
1627765914000,0.004
1627765974000,0.003
1627766034000,0.0032
1627766094000,0.0029
1627766154000,0.0029
1627766214000,0.0026
1627766274000,0.0033
1627766334000,0.0034
1627766394000,0.0033
1627766454000,0.0032
1627766514000,0.0031
1627766574000,0.0031
1627766634000,0.0037
1627766694000,0.004
1627766754000,0.0045
1627766814000,0.0034
1627766874000,0.0024
1627766934000,0.0018
1627766994000,0.0029
1627767054000,0.0031
1627767114000,0.0034
1627767174000,0.0035
1627767234000,0.004
1627767294000,0.0026
1627767354000,0.0039
1627767414000,0.0031
1627767474000,0.0028
1627767534000,0.0026
1627767594000,0.0035
1627767654000,0.0029
1627767714000,0.0027
1627767774000,0.0024
1627767834000,0.0024
1627767894000,0.0031
1627767954000,0.0042
1627768014000,0.0035
1627768074000,0.003
1627768134000,0.0038
1627768194000,0.0036
1627768254000,0.003
1627768314000,0.0033
1627768374000,0.0044
1627768434000,0.0048
1627768494000,0.0047
1627768554000,0.0048
1627768614000,0.0044
1627768674000,0.0037
1627768734000,0.0042
1627768794000,0.0035
1627768854000,0.0042
1627768914000,0.0027
1627768974000,0.0024
1627769034000,0.0033
1627769094000,0.0022
1627769154000,0.0026
1627769214000,0.0031
1627769274000,0.0038
1627769334000,0.005
1627769394000,0.0042
1627769454000,0.0036
1627769514000,0.0034
1627769574000,0.0035
1627769634000,0.0044
1627769694000,0.0039
1627769754000,0.0035
1627769814000,0.0037
1627769874000,0.0047
1627769934000,0.005
1627769994000,0.0037
1627770054000,0.0031
1627770114000,0.0026
1627770174000,0.004
1627770234000,0.0032
1627770294000,0.0034
1627770354000,0.0038
1627770414000,0.0023
1627770474000,0.0032
1627770534000,0.0027
1627770594000,0.0032
1627770654000,0.0036
1627770714000,0.0042
1627770774000,0.0037
1627770834000,0.0024
1627770894000,0.0032
1627770954000,0.0024
1627771014000,0.0032
1627771074000,0.004
1627771134000,0.004
1627771194000,0.0032
1627771254000,0.0036
1627771314000,0.004
1627771374000,0.0038
1627771434000,0.0037
1627771494000,0.0027
1627771554000,0.0045
1627771614000,0.004
1627771674000,0.0047
1627771734000,0.0043
1627771794000,0.0031
1627771854000,0.0024
1627771914000,0.0039
1627771974000,0.0041
1627772034000,0.003
1627772094000,0.0041
1627772154000,0.0037
1627772214000,0.0035
1627772274000,0.003
1627772334000,0.0046
1627772394000,0.0038
1627772454000,0.0053
