timestamp,value
1625469689000,0.0
1625469689000,0.0
1625469689000,0.0
1625469689000,0.0
1625469749000,1.0
1625469749000,0.0296
1625469749000,0.998
1625469749000,0.0242
1625469809000,0.0254
1625469809000,1.0
1625469809000,0.9975
1625469809000,0.0316
1625469869000,0.0302
1625469869000,1.0
1625469869000,0.0343
1625469869000,0.9968
1625469929000,0.0329
1625469929000,0.5415
1625469929000,0.9998
1625469929000,0.459
1625469989000,0.037
1625469989000,0.0317
1625469989000,0.9992
1625469989000,0.9983
1625470049000,0.9987
1625470049000,0.0234
1625470049000,0.9993
1625470049000,0.0338
1625470109000,0.028
1625470109000,0.999
1625470109000,0.0324
1625470109000,0.9983
1625470169000,0.9983
1625470169000,0.7505
1625470169000,0.2642
1625470169000,0.0336
1625470229000,0.4415
1625470229000,0.5613
1625470229000,0.0288
1625470229000,0.999
1625470289000,0.9983
1625470289000,0.0294
1625470289000,0.0395
1625470289000,0.9992
1625470349000,0.6265
1625470349000,0.3825
1625470349000,0.0322
1625470349000,0.9988
1625470409000,0.0254
1625470409000,0.0345
1625470409000,0.9987
1625470409000,0.9988
1625470469000,0.0301
1625470469000,0.9988
1625470469000,0.0365
1625470469000,0.999
1625470529000,0.999
1625470529000,0.0257
1625470529000,0.0254
1625470529000,0.9987
1625470589000,0.0345
1625470589000,0.9977
1625470589000,0.032
1625470589000,0.999
1625470649000,0.0321
1625470649000,0.9987
1625470649000,0.999
1625470649000,0.0313
1625470709000,0.1535
1625470709000,0.8645
1625470709000,0.9993
1625470709000,0.0279
1625470769000,0.2256
1625470769000,0.3584
1625470769000,0.8005
1625470769000,0.65
1625470829000,0.9988
1625470829000,0.0279
1625470829000,0.0292
1625470829000,0.9993
1625470889000,0.9992
1625470889000,0.9995
1625470889000,0.0286
1625470889000,0.0339
1625470949000,0.999
1625470949000,0.0271
1625470949000,0.9998
1625470949000,0.0291
1625471009000,0.3557
1625471009000,0.6767
1625471009000,0.0283
1625471009000,0.9987
1625471069000,0.0303
1625471069000,0.9988
1625471069000,0.0268
1625471069000,0.9983
1625471129000,0.9992
1625471129000,0.0256
1625471129000,0.9987
1625471129000,0.0293
1625471189000,0.0286
1625471189000,0.0342
1625471189000,0.9985
1625471189000,0.999
1625471249000,0.0188
1625471249000,0.9993
1625471249000,0.0214
1625471249000,0.9987
1625471309000,0.0311
1625471309000,0.9983
1625471309000,0.504
1625471309000,0.5015
1625471369000,1.0
1625471369000,0.0288
1625471369000,0.0219
1625471369000,0.9975
1625471429000,0.0326
1625471429000,0.0302
1625471429000,0.9982
1625471429000,1.0
1625471489000,0.9977
1625471489000,0.0366
1625471489000,1.0
1625471489000,0.0281
1625471549000,1.0
1625471549000,0.0297
1625471549000,0.0323
1625471549000,0.9978
1625471609000,0.034
1625471609000,0.9977
1625471609000,1.0
1625471609000,0.0293
1625471669000,1.0
1625471669000,0.1844
1625471669000,0.027
1625471669000,0.8374
1625471729000,0.1083
1625471729000,0.0309
1625471729000,0.9987
1625471729000,0.9145
1625471789000,0.9993
1625471789000,0.023
1625471789000,0.0293
1625471789000,0.999
1625471849000,0.8994
1625471849000,0.1326
1625471849000,0.0282
1625471849000,0.9985
1625471909000,0.9975
1625471909000,0.0341
1625471909000,1.0
1625471909000,0.0358
1625471969000,0.0256
1625471969000,0.9998
1625471969000,0.9987
1625471969000,0.0334
1625472029000,0.9993
1625472029000,0.0289
1625472029000,0.9992
1625472029000,0.031
1625472089000,0.9982
1625472089000,0.0276
1625472089000,0.0265
1625472089000,0.9995
1625472149000,0.2206
1625472149000,0.999
1625472149000,0.791
1625472149000,0.0257
1625472209000,0.9995
1625472209000,0.0256
1625472209000,0.0205
1625472209000,0.9995
1625472269000,0.0281
1625472269000,0.9985
1625472269000,0.0311
1625472269000,0.9998
1625472329000,1.0
1625472329000,0.9993
1625472329000,0.0204
1625472329000,0.0299
1625472389000,1.0
1625472389000,0.9993
1625472389000,0.0237
1625472389000,0.0198
1625472449000,0.9998
1625472449000,0.0252
1625472449000,0.0244
1625472449000,0.9992
1625472509000,0.9982
1625472509000,0.0304
1625472509000,1.0
1625472509000,0.0249
1625472569000,0.9995
1625472569000,0.0215
1625472569000,0.999
1625472569000,0.0247
1625472629000,0.9992
1625472629000,0.0249
1625472629000,0.0269
1625472629000,0.9997
1625472689000,0.4118
1625472689000,0.0295
1625472689000,0.5961
1625472689000,0.9983
1625472749000,0.9983
1625472749000,0.0268
1625472749000,0.9988
1625472749000,0.038
1625472809000,0.9993
1625472809000,0.0274
1625472809000,0.0299
1625472809000,0.999
1625472869000,0.9983
1625472869000,0.0235
1625472869000,0.0291
1625472869000,0.9992
1625472929000,0.9993
1625472929000,0.9983
1625472929000,0.0304
1625472929000,0.0343
1625472989000,0.9992
1625472989000,0.9987
1625472989000,0.0272
1625472989000,0.0316
1625473049000,0.2098
1625473049000,0.8155
1625473049000,0.9992
1625473049000,0.0262
1625473109000,0.9982
1625473109000,0.0268
1625473109000,0.0307
1625473109000,1.0
1625473169000,0.0256
1625473169000,0.0272
1625473169000,0.9993
1625473169000,0.9985
1625473229000,0.999
1625473229000,0.4281
1625473229000,0.0271
1625473229000,0.5761
1625473289000,0.0292
1625473289000,0.9985
1625473289000,0.0236
1625473289000,0.999
1625473349000,0.0286
1625473349000,0.9988
1625473349000,0.0322
1625473349000,0.9988
1625473409000,0.0339
1625473409000,0.0313
1625473409000,0.9987
1625473409000,0.9987
1625473469000,0.0327
1625473469000,0.0347
1625473469000,0.9997
1625473469000,0.9985
1625473529000,0.9993
1625473529000,0.0372
1625473529000,0.0292
1625473529000,0.9978
1625473589000,0.0307
1625473589000,0.0227
1625473589000,0.9983
1625473589000,0.9995
1625473649000,0.2397
1625473649000,0.7787
1625473649000,0.304
1625473649000,0.7214
1625473709000,1.0
1625473709000,0.0282
1625473709000,0.0296
1625473709000,0.998
1625473769000,0.0248
1625473769000,0.999
1625473769000,0.0277
1625473769000,1.0
1625473829000,0.027
1625473829000,0.9992
1625473829000,0.51
1625473829000,0.5156
1625473889000,0.9987
1625473889000,0.9977
1625473889000,0.0342
1625473889000,0.0344
1625473949000,0.9987
1625473949000,0.9985
1625473949000,0.0314
1625473949000,0.0331
1625474009000,0.9988
1625474009000,0.0329
1625474009000,0.9992
1625474009000,0.026
1625474069000,0.9982
1625474069000,0.0299
1625474069000,0.5832
1625474069000,0.4285
1625474129000,0.0286
1625474129000,0.9987
1625474129000,0.029
1625474129000,0.9995
1625474189000,0.999
1625474189000,0.1099
1625474189000,0.0284
1625474189000,0.9118
1625474249000,0.6784
1625474249000,0.0247
1625474249000,0.9995
1625474249000,0.3484
1625474309000,0.8376
1625474309000,0.1788
1625474309000,1.0
1625474309000,0.0316
1625474369000,1.0
