timestamp,value
1625469685000,0.0
1625469745000,0.0152
1625469805000,0.0149
1625469865000,0.0144
1625469925000,0.0163
1625469985000,0.0169
1625470045000,0.0178
1625470105000,0.0174
1625470165000,0.0168
1625470225000,0.016
1625470285000,0.0158
1625470345000,0.0164
1625470405000,0.0171
1625470465000,0.0179
1625470525000,0.0162
1625470585000,0.0165
1625470645000,0.0157
1625470705000,0.0097
1625470765000,0.0162
1625470825000,0.015
1625470885000,0.0137
1625470945000,0.0154
1625471005000,0.0162
1625471065000,0.016
1625471125000,0.0171
1625471185000,0.0177
1625471245000,0.0139
1625471305000,0.0174
1625471365000,0.0155
1625471425000,0.0164
1625471485000,0.0171
1625471545000,0.017
1625471605000,0.018
1625471665000,0.0153
1625471725000,0.0167
1625471785000,0.0167
1625471845000,0.0147
1625471905000,0.016
1625471965000,0.0146
1625472025000,0.0146
1625472085000,0.014
1625472145000,0.0155
1625472205000,0.0142
1625472265000,0.0156
1625472325000,0.0138
1625472385000,0.0151
1625472445000,0.0144
1625472505000,0.016
1625472565000,0.0141
1625472625000,0.0151
1625472685000,0.0151
1625472745000,0.0153
1625472805000,0.0153
1625472865000,0.0149
1625472925000,0.0149
1625472985000,0.0147
1625473045000,0.0168
1625473105000,0.016
1625473165000,0.0153
1625473225000,0.015
1625473285000,0.0161
1625473345000,0.0162
1625473405000,0.0159
1625473465000,0.0164
1625473525000,0.0159
1625473585000,0.0155
1625473645000,0.0161
1625473705000,0.0144
1625473765000,0.0146
1625473825000,0.0143
1625473885000,0.0168
1625473945000,0.0161
1625474005000,0.0157
1625474065000,0.0161
1625474125000,0.0139
1625474185000,0.0157
1625474245000,0.0152
1625474305000,0.0144
1625474365000,0.0157
1625474425000,0.0144
1625474485000,0.0142
1625474545000,0.0165
1625474605000,0.0149
1625474665000,0.0166
1625474725000,0.0153
1625474785000,0.0144
1625474845000,0.0153
1625474905000,0.0153
1625474965000,0.015
1625475025000,0.0168
1625475085000,0.0157
1625475145000,0.0163
1625475205000,0.0159
1625475265000,0.0152
1625475325000,0.0157
1625475385000,0.0169
1625475445000,0.015
1625475505000,0.0148
1625475565000,0.0159
1625475625000,0.0157
1625475685000,0.0146
1625475745000,0.0158
1625475805000,0.0148
1625475865000,0.0159
1625475925000,0.0145
1625475985000,0.014
1625476045000,0.0146
1625476105000,0.0142
1625476165000,0.017
1625476225000,0.017
1625476285000,0.0161
1625476345000,0.0165
1625476405000,0.0153
1625476465000,0.0162
1625476525000,0.0157
1625476585000,0.0158
1625476645000,0.0164
1625476705000,0.0175
1625476765000,0.0142
1625476825000,0.0152
1625476885000,0.0144
1625476945000,0.0161
1625477005000,0.0176
1625477065000,0.0158
1625477125000,0.0164
1625477185000,0.016
1625477245000,0.0154
1625477305000,0.0149
1625477365000,0.0161
1625477425000,0.016
1625477485000,0.016
1625477545000,0.0167
1625477605000,0.0149
1625477665000,0.0166
1625477725000,0.0157
1625477785000,0.0155
1625477845000,0.0145
1625477905000,0.0147
1625477965000,0.0153
1625478025000,0.0157
1625478085000,0.0163
1625478145000,0.0159
1625478205000,0.0175
1625478265000,0.0158
1625478325000,0.0162
1625478385000,0.016
1625478445000,0.0154
1625478505000,0.0168
1625478565000,0.0152
1625478625000,0.0151
1625478685000,0.0165
1625478745000,0.016
1625478805000,0.0146
1625478865000,0.0155
1625478925000,0.0149
1625478985000,0.0144
1625479045000,0.0155
1625479105000,0.0162
1625479165000,0.016
1625479225000,0.0149
1625479285000,0.0162
1625479345000,0.0157
1625479405000,0.0157
1625479465000,0.0166
1625479525000,0.016
1625479585000,0.017
1625479645000,0.0151
1625479705000,0.016
1625479765000,0.015
1625479825000,0.0143
1625479885000,0.0145
1625479945000,0.0167
1625480005000,0.0151
1625480065000,0.0163
1625480125000,0.0158
1625480185000,0.0158
1625480245000,0.0163
1625480305000,0.0156
1625480365000,0.0147
1625480425000,0.0146
1625480485000,0.0146
1625480545000,0.0157
1625480605000,0.0165
1625480665000,0.0151
1625480725000,0.0146
1625480785000,0.0162
1625480845000,0.0162
1625480905000,0.017
1625480965000,0.0157
1625481025000,0.0164
1625481085000,0.0146
1625481145000,0.0156
1625481205000,0.0156
1625481265000,0.0156
1625481325000,0.0174
1625481385000,0.0148
1625481445000,0.0153
1625481505000,0.0145
1625481565000,0.0154
1625481625000,0.0157
1625481685000,0.0166
1625481745000,0.0152
1625481805000,0.0166
1625481865000,0.0162
1625481925000,0.0145
1625481985000,0.0181
1625482045000,0.0156
1625482105000,0.0157
1625482165000,0.0152
1625482225000,0.0152
1625482285000,0.0167
1625482345000,0.0148
1625482405000,0.0155
1625482465000,0.0151
1625482525000,0.0147
1625482585000,0.0161
1625482645000,0.0161
1625482705000,0.016
1625482765000,0.0155
1625482825000,0.0159
1625482885000,0.0148
1625482945000,0.0163
1625483005000,0.015
1625483065000,0.015
1625483125000,0.0141
1625483185000,0.0142
1625483245000,0.0149
1625483305000,0.0139
1625483365000,0.0152
1625483425000,0.0151
1625483485000,0.014
1625483545000,0.0138
1625483605000,0.0144
1625483665000,0.0155
1625483725000,0.0162
1625483785000,0.0155
1625483845000,0.0152
1625483905000,0.0155
1625483965000,0.0157
1625484025000,0.0144
1625484085000,0.0161
1625484145000,0.015
1625484205000,0.0152
1625484265000,0.0145
1625484325000,0.0159
1625484385000,0.0158
1625484445000,0.016
1625484505000,0.0163
1625484565000,0.0147
1625484625000,0.0152
1625484685000,0.0157
1625484745000,0.0153
1625484805000,0.0162
1625484865000,0.0155
1625484925000,0.0158
1625484985000,0.0142
1625485045000,0.0145
1625485105000,0.0148
1625485165000,0.0162
1625485225000,0.0154
1625485285000,0.0165
1625485345000,0.0147
1625485405000,0.0161
1625485465000,0.0158
1625485525000,0.0142
1625485585000,0.0143
1625485645000,0.0146
1625485705000,0.0163
1625485765000,0.0158
1625485825000,0.0159
1625485885000,0.016
1625485945000,0.0163
1625486005000,0.0165
1625486065000,0.0148
1625486125000,0.0165
1625486185000,0.0144
1625486245000,0.017
1625486305000,0.0145
1625486365000,0.0157
1625486425000,0.0152
1625486485000,0.0157
1625486545000,0.0141
1625486605000,0.0137
1625486665000,0.0143
1625486725000,0.0154
1625486785000,0.0162
1625486845000,0.015
1625486905000,0.0155
1625486965000,0.0157
1625487025000,0.0157
1625487085000,0.0144
1625487145000,0.0145
1625487205000,0.0147
1625487265000,0.0146
1625487325000,0.0153
1625487385000,0.0137
1625487445000,0.0155
1625487505000,0.0159
1625487565000,0.0158
1625487625000,0.0155
1625487685000,0.0157
1625487745000,0.0151
1625487805000,0.0158
1625487865000,0.0163
1625487925000,0.0156
1625487985000,0.0155
1625488045000,0.0154
1625488105000,0.0169
1625488165000,0.0162
1625488225000,0.0159
1625488285000,0.0151
1625488345000,0.017
1625488405000,0.0157
1625488465000,0.0164
1625488525000,0.0148
1625488585000,0.0162
1625488645000,0.0151
1625488705000,0.015
1625488765000,0.0164
1625488825000,0.0162
1625488885000,0.0158
1625488945000,0.0152
1625489005000,0.0152
1625489065000,0.0158
1625489125000,0.0151
1625489185000,0.0172
1625489245000,0.0159
1625489305000,0.0177
1625489365000,0.0176
1625489425000,0.015
1625489485000,0.0155
1625489545000,0.0162
1625489605000,0.0167
1625489665000,0.0163
1625489725000,0.0164
1625489785000,0.0154
1625489845000,0.0149
1625489905000,0.0168
1625489965000,0.0167
1625490025000,0.0155
1625490085000,0.0159
1625490145000,0.0142
1625490205000,0.0153
