timestamp,value
1625469688000,2.73
1625469748000,2.6
1625469808000,2.59
1625469868000,2.65
1625469928000,2.54
1625469988000,2.46
1625470048000,2.7
1625470108000,2.57
1625470168000,2.46
1625470228000,2.39
1625470288000,2.32
1625470348000,2.46
1625470408000,2.39
1625470468000,2.36
1625470528000,2.52
1625470588000,2.56
1625470648000,2.52
1625470708000,2.42
1625470768000,2.52
1625470828000,2.57
1625470888000,2.46
1625470948000,2.38
1625471008000,2.47
1625471068000,2.38
1625471128000,2.31
1625471188000,2.42
1625471248000,2.34
1625471308000,2.29
1625471368000,2.38
1625471428000,2.49
1625471488000,2.4
1625471548000,2.34
1625471608000,2.43
1625471668000,2.36
1625471728000,2.29
1625471788000,2.47
1625471848000,2.44
1625471908000,2.39
1625471968000,2.58
1625472028000,2.49
1625472088000,2.39
1625472148000,2.32
1625472208000,2.26
1625472268000,2.55
1625472328000,2.45
1625472388000,2.36
1625472448000,2.36
1625472508000,2.53
1625472568000,2.47
1625472628000,2.38
1625472688000,2.45
1625472748000,2.5
1625472808000,2.58
1625472868000,2.47
1625472928000,2.38
1625472988000,2.61
1625473048000,2.63
1625473108000,2.51
1625473168000,2.41
1625473228000,2.34
1625473288000,2.43
1625473348000,2.37
1625473408000,2.3
1625473468000,2.47
1625473528000,2.4
1625473588000,2.35
1625473648000,2.29
1625473708000,2.59
1625473768000,2.51
1625473828000,2.42
1625473888000,2.35
1625473948000,2.29
1625474008000,2.38
1625474068000,2.31
1625474128000,2.28
1625474188000,2.22
1625474248000,2.21
1625474308000,2.35
1625474368000,2.55
1625474428000,2.48
1625474488000,2.55
1625474548000,2.73
1625474608000,2.59
1625474668000,2.48
1625474728000,2.54
1625474788000,2.57
1625474848000,2.46
1625474908000,2.47
1625474968000,2.5
1625475028000,2.41
1625475088000,2.34
1625475148000,2.43
1625475208000,2.5
1625475268000,2.75
1625475328000,2.71
1625475388000,2.59
1625475448000,2.75
1625475508000,2.61
1625475568000,2.49
1625475628000,2.4
1625475688000,2.57
1625475748000,2.49
1625475808000,2.58
1625475868000,2.68
1625475928000,2.64
1625475988000,2.54
1625476048000,2.44
1625476108000,2.36
1625476168000,2.33
1625476228000,2.57
1625476288000,2.55
1625476348000,2.46
1625476408000,2.41
1625476468000,2.4
1625476528000,2.44
1625476588000,2.35
1625476648000,2.29
1625476708000,2.54
1625476768000,2.5
1625476828000,2.4
1625476888000,2.49
1625476948000,2.71
1625477008000,2.66
1625477068000,2.65
1625477128000,2.66
1625477188000,2.54
1625477248000,2.44
1625477308000,2.54
1625477368000,2.47
1625477428000,2.38
1625477488000,2.36
1625477548000,2.52
1625477608000,2.44
1625477668000,2.35
1625477728000,2.44
1625477788000,2.67
1625477848000,2.54
1625477908000,2.44
1625477968000,2.47
1625478028000,2.65
1625478088000,2.53
1625478148000,2.52
1625478208000,2.58
1625478268000,2.49
1625478328000,2.6
1625478388000,2.54
1625478448000,2.43
1625478508000,2.54
1625478568000,2.46
1625478628000,2.37
1625478688000,2.33
1625478748000,2.67
1625478808000,2.63
1625478868000,2.51
1625478928000,2.63
1625478988000,2.51
1625479048000,2.42
1625479108000,2.39
1625479168000,2.4
1625479228000,2.65
1625479288000,2.55
1625479348000,2.45
1625479408000,2.59
1625479468000,2.49
1625479528000,2.4
1625479588000,2.38
1625479648000,2.66
1625479708000,2.6
