timestamp,value
1627747206000,18175164183
1627747236000,18175484283
1627747266000,18175778775
1627747296000,18176022150
1627747326000,18176291067
1627747356000,18176662383
1627747386000,18176880051
1627747416000,18177200151
1627747446000,18177520251
1627747476000,18177840384
1627747506000,18178138374
1627747536000,18178429368
1627747566000,18178672644
1627747596000,18178864704
1627747626000,18179210280
1627747656000,18179550213
1627747686000,18179819196
1627747716000,18180203679
1627747746000,18180523878
1627747776000,18180815367
1627747806000,18181148337
1627747836000,18181462431
1627747866000,18181782531
1627747896000,18182032605
1627747926000,18182365575
1627747956000,18182657097
1627747986000,18182900373
1627748016000,18183243078
1627748046000,18183588819
1627748076000,18183893178
1627748106000,18184174866
1627748136000,18184482261
1627748166000,18184799358
1627748196000,18185065239
1627748226000,18185321319
1627748256000,18185564595
1627748286000,18185830509
1627748316000,18186125001
1627748346000,18186461766
1627748376000,18186807474
1627748406000,18187124571
1627748436000,18187441668
1627748466000,18187723356
1627748496000,18188091735
1627748526000,18188335011
1627748556000,18188536905
1627748586000,18188892414
1627748616000,18189115164
1627748646000,18189435297
1627748676000,18189739590
1627748706000,18190034115
1627748736000,18190351278
1627748766000,18190684182
1627748796000,18191017086
1627748826000,18191247558
1627748856000,18191542083
1627748886000,18191746947
1627748916000,18192064044
1627748946000,18192435360
1627748976000,18192631149
1627749006000,18192976890
1627749036000,18193271415
1627749066000,18193591515
1627749096000,18193950060
1627749126000,18194215941
1627749156000,18194545875
1627749186000,18194875776
1627749216000,18195183105
1627749246000,18195464826
1627749276000,18195733710
1627749306000,18195989790
1627749336000,18196316754
1627749366000,18196559997
1627749396000,18196889931
1627749426000,18197094795
1627749456000,18197312496
1627749486000,18197581413
1627749516000,18197924151
1627749546000,18198254085
1627749576000,18198583953
1627749606000,18198854289
1627749636000,18199148781
1627749666000,18199520097
1627749696000,18199827426
1627749726000,18200057898
1627749756000,18200313978
1627749786000,18200544450
1627749816000,18200736543
1627749846000,18201056676
1627749876000,18201351234
1627749906000,18201645726
1627749936000,18201901806
1627749966000,18202183494
1627749996000,18202478019
1627750026000,18202810923
1627750056000,18203092644
1627750086000,18203332917
1627750116000,18203573190
1627750146000,18203816499
1627750176000,18204018393
1627750206000,18204312885
1627750236000,18204668493
1627750266000,18204975789
1627750296000,18205267278
1627750326000,18205612986
1627750356000,18205853292
1627750386000,18206173392
1627750416000,18206298429
1627750446000,18206516097
1627750476000,18206713635
1627750506000,18207032118
1627750536000,18207288264
1627750566000,18207592590
1627750596000,18207874278
1627750626000,18208229787
1627750656000,18208511475
1627750686000,18208818771
1627750716000,18209151675
1627750746000,18209356605
1627750776000,18209625489
1627750806000,18209945655
1627750836000,18210278559
1627750866000,18210573051
1627750896000,18210841935
1627750926000,18211223052
1627750956000,18211427916
1627750986000,18211766562
1627751016000,18211945818
1627751046000,18212276742
1627751076000,18212494410
1627751106000,18212802861
1627751136000,18213122994
1627751166000,18213455931
1627751196000,18213776031
1627751226000,18214096164
1627751256000,18214403460
1627751286000,18214749168
1627751316000,18215043660
1627751346000,18215312610
1627751376000,18215570373
1627751406000,18215852061
1627751436000,18216120945
1627751466000,18216428340
1627751496000,18216722832
1627751526000,18216966141
1627751556000,18217299045
1627751586000,18217593537
1627751616000,18217875225
1627751646000,18218192322
1627751676000,18218419791
1627751706000,18218685738
1627751736000,18219019698
1627751766000,18219311220
1627751796000,18219669765
1627751826000,18219974025
1627751856000,18220306929
1627751886000,18220614225
1627751916000,18220935513
1627751946000,18221230005
1627751976000,18221460873
1627752006000,18221752395
1627752036000,18221982867
1627752066000,18222277392
1627752096000,18222597525
1627752126000,18222940230
1627752156000,18223234689
1627752186000,18223475061
1627752216000,18223795227
1627752246000,18224025699
1627752276000,18224345799
1627752306000,18224627487
1627752336000,18224918976
1627752366000,18225187959
1627752396000,18225492252
1627752426000,18225735264
1627752456000,18226042824
1627752486000,18226359921
1627752516000,18226641609
1627752546000,18226962633
1627752576000,18227333982
1627752606000,18227590095
1627752636000,18227871816
1627752666000,18228217590
1627752696000,18228448062
1627752726000,18228755358
1627752756000,18229049850
1627752786000,18229344342
1627752816000,18229677279
1627752846000,18230019951
1627752876000,18230340051
1627752906000,18230596164
1627752936000,18230916330
1627752966000,18231207852
1627752996000,18231553560
1627753026000,18231854850
1627753056000,18232187820
1627753086000,18232495116
1627753116000,18232824984
1627753146000,18233145150
1627753176000,18233497590
1627753206000,18233689683
1627753236000,18234042222
1627753266000,18234375192
1627753296000,18234646584
1627753326000,18234986253
1627753356000,18235280712
1627753386000,18235635231
1627753416000,18235927677
1627753446000,18236261076
1627753476000,18236542797
1627753506000,18236814981
1627753536000,18237111156
1627753566000,18237407595
1627753596000,18237766140
1627753626000,18238080267
1627753656000,18238297968
1627753686000,18238592460
1627753716000,18238938564
1627753746000,18239284371
1627753776000,18239454090
1627753806000,18239758383
1627753836000,18240068220
1627753866000,18240405381
1627753896000,18240699873
1627753926000,18240927408
1627753956000,18241247508
1627753986000,18241610343
1627754016000,18241908762
1627754046000,18242059374
1627754076000,18242392311
1627754106000,18242587506
1627754136000,18242873121
1627754166000,18243203055
1627754196000,18243523188
1627754226000,18243821145
1627754256000,18244048185
1627754286000,18244392276
1627754316000,18244673964
1627754346000,18244903149
1627754376000,18245166027
1627754406000,18245510481
1627754436000,18245804973
1627754466000,18246045246
1627754496000,18246352542
1627754526000,18246637464
1627754556000,18246893643
1627754586000,18247149789
1627754616000,18247444281
1627754646000,18247700394
1627754676000,18247994886
1627754706000,18248302248
1627754736000,18248532720
1627754766000,18248865657
1627754796000,18249097581
1627754826000,18249417780
1627754856000,18249661056
1627754886000,18249978153
1627754916000,18250269609
1627754946000,18250602546
1627754976000,18250970859
1627755006000,18251162919
1627755036000,18251431869
1627755066000,18251672109
1627755096000,18251953797
1627755126000,18252275580
1627755156000,18252592677
1627755186000,18252884166
1627755216000,18253214034
1627755246000,18253543902
1627755276000,18253838691
1627755306000,18254219841
1627755336000,18254450346
1627755366000,18254754606
1627755396000,18254959470
1627755426000,18255241191
1627755456000,18255468693
1627755486000,18255775956
1627755516000,18255939372
1627755546000,18256246668
1627755576000,18256563798
1627755606000,18256832682
1627755636000,18257150505
1627755666000,18257419389
1627755696000,18257762094
1627755726000,18258069489
1627755756000,18258335337
1627755786000,18258621579
1627755816000,18258968937
1627755846000,18259289037
1627755876000,18259618938
1627755906000,18259926234
1627755936000,18260294547
1627755966000,18260563431
1627755996000,18260922174
1627756026000,18261165615
1627756056000,18261469875
1627756086000,18261777171
1627756116000,18262132647
1627756146000,18262375956
1627756176000,18262667445
1627756206000,18262963356
1627756236000,18263284050
1627756266000,18263616954
1627756296000,18263847459
1627756326000,18264103539
1627756356000,18264398031
1627756386000,18264628503
1627756416000,18264897453
1627756446000,18265204782
1627756476000,18265546959
1627756506000,18265848249
1627756536000,18266053212
1627756566000,18266344701
1627756596000,18266697141
1627756626000,18267030078
1627756656000,18267311799
1627756686000,18267606291
1627756716000,18267926457
1627756746000,18268259394
1627756776000,18268553886
1627756806000,18268848411
1627756836000,18269155707
1627756866000,18269501481
1627756896000,18269808810
1627756926000,18270052086
1627756956000,18270348063
1627756986000,18270693804
1627757016000,18270988263
1627757046000,18271366311
1627757076000,18271673607
1627757106000,18272003508
1627757136000,18272320572
1627757166000,18272615097
1627757196000,18272957769
