timestamp,value
1627747210000,60887304
1627747240000,60888179
1627747270000,60888999
1627747300000,60889821
1627747330000,60890594
1627747360000,60891601
1627747390000,60892321
1627747420000,60893247
1627747450000,60894245
1627747480000,60895139
1627747510000,60896131
1627747540000,60896895
1627747570000,60897640
1627747600000,60898246
1627747630000,60899191
1627747660000,60900123
1627747690000,60900973
1627747720000,60902051
1627747750000,60902908
1627747780000,60903798
1627747810000,60904796
1627747840000,60905694
1627747870000,60906579
1627747900000,60907259
1627747930000,60908272
1627747960000,60909021
1627747990000,60909752
1627748020000,60910899
1627748050000,60911756
1627748080000,60912633
1627748110000,60913505
1627748140000,60914415
1627748170000,60915274
1627748200000,60916033
1627748230000,60916739
1627748260000,60917521
1627748290000,60918244
1627748320000,60919108
1627748350000,60920073
1627748380000,60921107
1627748410000,60922048
1627748440000,60922818
1627748470000,60923771
1627748500000,60924799
1627748530000,60925496
1627748560000,60925990
1627748590000,60926932
1627748620000,60927749
1627748650000,60928617
1627748680000,60929520
1627748710000,60930358
1627748740000,60931355
1627748770000,60932303
1627748800000,60933189
1627748830000,60933861
1627748860000,60934779
1627748890000,60935467
1627748920000,60936355
1627748950000,60937337
1627748980000,60938020
1627749010000,60938940
1627749040000,60939785
1627749070000,60940836
1627749100000,60941802
1627749130000,60942460
1627749160000,60943455
1627749190000,60944426
1627749220000,60945279
1627749250000,60946155
1627749280000,60946772
1627749310000,60947610
1627749340000,60948635
1627749370000,60949264
1627749400000,60950175
1627749430000,60950770
1627749460000,60951344
1627749490000,60952164
1627749520000,60953254
1627749550000,60954104
1627749580000,60955047
1627749610000,60955796
1627749640000,60956815
1627749670000,60957799
1627749700000,60958628
1627749730000,60959294
1627749760000,60960155
1627749790000,60960642
1627749820000,60961312
1627749850000,60962255
1627749880000,60963129
1627749910000,60964053
1627749940000,60964627
1627749970000,60965528
1627750000000,60966452
1627750030000,60967401
1627750060000,60968138
1627750090000,60968820
1627750120000,60969467
1627750150000,60970353
1627750180000,60970923
1627750210000,60971749
1627750240000,60972708
1627750270000,60973637
1627750300000,60974475
1627750330000,60975452
1627750360000,60976176
1627750390000,60977051
1627750420000,60977290
1627750450000,60977991
1627750480000,60978557
1627750510000,60979502
1627750540000,60980137
1627750570000,60981090
1627750600000,60981991
1627750630000,60982971
1627750660000,60983771
1627750690000,60984677
1627750720000,60985527
1627750750000,60986316
1627750780000,60987003
1627750810000,60987934
1627750840000,60988875
1627750870000,60989785
1627750900000,60990662
1627750930000,60991676
1627750960000,60992318
1627750990000,60993233
1627751020000,60993828
1627751050000,60994670
1627751080000,60995390
1627751110000,60996297
1627751140000,60997258
1627751170000,60998162
1627751200000,60999104
1627751230000,61000132
1627751260000,61001005
1627751290000,61002013
1627751320000,61002833
1627751350000,61003705
1627751380000,61004373
1627751410000,61005196
1627751440000,61006031
1627751470000,61006956
1627751500000,61007773
1627751530000,61008483
1627751560000,61009452
1627751590000,61010301
1627751620000,61011205
1627751650000,61011977
1627751680000,61012711
1627751710000,61013462
1627751740000,61014423
1627751770000,61015213
1627751800000,61016344
1627751830000,61017166
1627751860000,61018135
1627751890000,61019096
1627751920000,61020015
1627751950000,61020796
1627751980000,61021505
1627752010000,61022285
1627752040000,61022961
1627752070000,61023865
1627752100000,61024868
1627752130000,61025843
1627752160000,61026557
1627752190000,61027310
1627752220000,61028219
1627752250000,61028970
1627752280000,61029905
1627752310000,61030635
1627752340000,61031586
1627752370000,61032286
1627752400000,61033204
1627752430000,61033903
1627752460000,61034754
1627752490000,61035655
1627752520000,61036557
1627752550000,61037526
1627752580000,61038501
1627752610000,61039343
1627752640000,61040100
1627752670000,61041108
1627752700000,61041805
1627752730000,61042632
1627752760000,61043545
1627752790000,61044367
1627752820000,61045388
1627752850000,61046284
1627752880000,61047253
1627752910000,61047973
1627752940000,61049028
1627752970000,61049866
1627753000000,61050820
1627753030000,61051668
1627753060000,61052652
1627753090000,61053502
1627753120000,61054363
1627753150000,61055439
1627753180000,61056339
1627753210000,61056976
1627753240000,61057916
1627753270000,61058822
1627753300000,61059654
1627753330000,61060639
1627753360000,61061539
1627753390000,61062482
1627753420000,61063400
1627753450000,61064304
1627753480000,61065058
1627753510000,61065947
1627753540000,61066747
1627753570000,61067631
1627753600000,61068652
1627753630000,61069490
1627753660000,61070150
1627753690000,61071068
1627753720000,61072061
1627753750000,61072948
1627753780000,61073616
1627753810000,61074385
1627753840000,61075381
1627753870000,61076185
1627753900000,61077104
1627753930000,61077735
1627753960000,61078695
1627753990000,61079705
1627754020000,61080443
1627754050000,61080962
1627754080000,61081839
1627754110000,61082608
1627754140000,61083316
1627754170000,61084194
1627754200000,61085139
1627754230000,61085947
1627754260000,61086653
1627754290000,61087584
1627754320000,61088434
1627754350000,61089161
1627754380000,61089815
1627754410000,61090851
1627754440000,61091628
1627754470000,61092407
1627754500000,61093260
1627754530000,61094099
1627754560000,61094873
1627754590000,61095617
1627754620000,61096424
1627754650000,61097225
1627754680000,61098116
1627754710000,61098930
1627754740000,61099733
1627754770000,61100718
1627754800000,61101369
1627754830000,61102342
1627754860000,61103024
1627754890000,61103982
1627754920000,61104785
1627754950000,61105864
1627754980000,61106762
1627755010000,61107366
1627755040000,61108225
1627755070000,61108900
1627755100000,61109643
1627755130000,61110591
1627755160000,61111559
1627755190000,61112351
1627755220000,61113343
1627755250000,61114252
1627755280000,61115208
1627755310000,61116195
1627755340000,61116794
1627755370000,61117745
1627755400000,61118312
1627755430000,61119227
1627755460000,61119839
1627755490000,61120659
1627755520000,61121105
1627755550000,61122033
1627755580000,61122934
1627755610000,61123647
1627755640000,61124570
1627755670000,61125476
1627755700000,61126448
1627755730000,61127234
1627755760000,61128029
1627755790000,61128900
1627755820000,61129901
1627755850000,61130823
1627755880000,61131868
1627755910000,61132688
1627755940000,61133669
1627755970000,61134535
1627756000000,61135512
1627756030000,61136266
1627756060000,61137195
1627756090000,61138023
