timestamp,value
1627747225000,17378462931
1627747255000,17378770231
1627747285000,17379090397
1627747315000,17379333630
1627747345000,17379666562
1627747375000,17379880464
1627747405000,17380188203
1627747435000,17380568813
1627747465000,17380850518
1627747495000,17381145017
1627747525000,17381516461
1627747555000,17381734134
1627747585000,17381964582
1627747615000,17382220667
1627747645000,17382566360
1627747675000,17382848099
1627747705000,17383203000
1627747735000,17383523083
1627747765000,17383830405
1627747795000,17384112071
1627747825000,17384457797
1627747855000,17384739565
1627747885000,17385085240
1627747915000,17385302902
1627747945000,17385597440
1627747975000,17385853531
1627748005000,17386186805
1627748035000,17386506965
1627748065000,17386775870
1627748095000,17387147202
1627748125000,17387454431
1627748155000,17387761746
1627748185000,17387992247
1627748215000,17388248307
1627748245000,17388491670
1627748275000,17388722082
1627748305000,17389029399
1627748335000,17389336720
1627748365000,17389644018
1627748395000,17389989773
1627748425000,17390284165
1627748455000,17390629961
1627748485000,17390911573
1627748515000,17391142068
1627748545000,17391475016
1627748575000,17391701823
1627748605000,17391906770
1627748635000,17392214091
1627748665000,17392607428
1627748695000,17392889067
1627748725000,17393222007
1627748755000,17393503704
1627748785000,17393798352
1627748815000,17394131374
1627748845000,17394358245
1627748875000,17394563101
1627748905000,17394908773
1627748935000,17395203314
1627748965000,17395548992
1627748995000,17395779501
1627749025000,17396112393
1627749055000,17396407220
1627749085000,17396714574
1627749115000,17397060212
1627749145000,17397329164
1627749175000,17397623963
1627749205000,17397956898
1627749235000,17398289817
1627749265000,17398611202
1627749295000,17398816088
1627749325000,17399123299
1627749355000,17399393374
1627749385000,17399636643
1627749415000,17399957145
1627749445000,17400072670
1627749475000,17400341609
1627749505000,17400636079
1627749535000,17400994551
1627749565000,17401289326
1627749595000,17401596619
1627749625000,17401913137
1627749655000,17402233299
1627749685000,17402527754
1627749715000,17402873462
1627749745000,17403091134
1627749775000,17403308834
1627749805000,17403475317
1627749835000,17403821035
1627749865000,17404128306
1627749895000,17404435592
1627749925000,17404704501
1627749955000,17404909345
1627749985000,17405203889
1627750015000,17405571549
1627750045000,17405840426
1627750075000,17406109336
1627750105000,17406288633
1627750135000,17406544700
1627750165000,17406826380
1627750195000,17407069682
1627750225000,17407364168
1627750255000,17407658685
1627750285000,17407953109
1627750315000,17408324477
1627750345000,17408593350
1627750375000,17408820238
1627750405000,17409114712
