timestamp,value
1627747212000,10653580000000
1627747242000,10653740000000
1627747272000,10653920000000
1627747302000,10654080000000
1627747332000,10654230000000
1627747362000,10654340000000
1627747392000,10654480000000
1627747422000,10654610000000
1627747452000,10654760000000
1627747482000,10654910000000
1627747512000,10655060000000
1627747542000,10655240000000
1627747572000,10655380000000
1627747602000,10655500000000
1627747632000,10655660000000
1627747662000,10655860000000
1627747692000,10656010000000
1627747722000,10656180000000
1627747752000,10656330000000
1627747782000,10656510000000
1627747812000,10656680000000
1627747842000,10656800000000
1627747872000,10656950000000
1627747902000,10657110000000
1627747932000,10657280000000
1627747962000,10657400000000
1627747992000,10657550000000
1627748022000,10657700000000
1627748052000,10657850000000
1627748082000,10657980000000
1627748112000,10658120000000
1627748142000,10658300000000
1627748172000,10658440000000
1627748202000,10658560000000
1627748232000,10658660000000
1627748262000,10658800000000
1627748292000,10658940000000
1627748322000,10659060000000
1627748352000,10659230000000
1627748382000,10659400000000
1627748412000,10659550000000
1627748442000,10659720000000
1627748472000,10659880000000
1627748502000,10660080000000
1627748532000,10660200000000
1627748562000,10660310000000
1627748592000,10660450000000
1627748622000,10660600000000
1627748652000,10660720000000
1627748682000,10660890000000
1627748712000,10661010000000
1627748742000,10661160000000
1627748772000,10661280000000
1627748802000,10661440000000
1627748832000,10661580000000
1627748862000,10661740000000
1627748892000,10661820000000
1627748922000,10661970000000
1627748952000,10662140000000
1627748982000,10662260000000
1627749012000,10662440000000
1627749042000,10662650000000
1627749072000,10662780000000
1627749102000,10662960000000
1627749132000,10663060000000
1627749162000,10663200000000
1627749192000,10663420000000
1627749222000,10663560000000
1627749252000,10663710000000
1627749282000,10663840000000
1627749312000,10664010000000
1627749342000,10664160000000
1627749372000,10664280000000
1627749402000,10664380000000
1627749432000,10664470000000
1627749462000,10664590000000
1627749492000,10664720000000
1627749522000,10664900000000
1627749552000,10665060000000
1627749582000,10665180000000
1627749612000,10665280000000
1627749642000,10665470000000
1627749672000,10665570000000
1627749702000,10665700000000
1627749732000,10665840000000
1627749762000,10665990000000
1627749792000,10666080000000
1627749822000,10666250000000
1627749852000,10666400000000
1627749882000,10666530000000
1627749912000,10666670000000
1627749942000,10666770000000
1627749972000,10666940000000
1627750002000,10667080000000
1627750032000,10667260000000
1627750062000,10667420000000
1627750092000,10667530000000
1627750122000,10667640000000
1627750152000,10667790000000
1627750182000,10667910000000
1627750212000,10668070000000
1627750242000,10668220000000
1627750272000,10668400000000
1627750302000,10668550000000
1627750332000,10668710000000
1627750362000,10668790000000
1627750392000,10668930000000
1627750422000,10668990000000
1627750452000,10669090000000
1627750482000,10669200000000
1627750512000,10669370000000
1627750542000,10669460000000
1627750572000,10669600000000
1627750602000,10669780000000
1627750632000,10669920000000
1627750662000,10670070000000
1627750692000,10670280000000
1627750722000,10670400000000
1627750752000,10670550000000
1627750782000,10670650000000
1627750812000,10670790000000
1627750842000,10670950000000
