timestamp,value
1627747212000,7474000000000
1627747242000,7474120000000
1627747272000,7474240000000
1627747302000,7474330000000
1627747332000,7474450000000
1627747362000,7474570000000
1627747392000,7474660000000
1627747422000,7474790000000
1627747452000,7474900000000
1627747482000,7474980000000
1627747512000,7475100000000
1627747542000,7475240000000
1627747572000,7475320000000
1627747602000,7475400000000
1627747632000,7475480000000
1627747662000,7475580000000
1627747692000,7475730000000
1627747722000,7475820000000
1627747752000,7475900000000
1627747782000,7476010000000
1627747812000,7476120000000
1627747842000,7476250000000
1627747872000,7476310000000
1627747902000,7476410000000
1627747932000,7476510000000
1627747962000,7476580000000
1627747992000,7476680000000
1627748022000,7476780000000
1627748052000,7476880000000
1627748082000,7476970000000
1627748112000,7477070000000
1627748142000,7477190000000
1627748172000,7477310000000
1627748202000,7477380000000
1627748232000,7477450000000
1627748262000,7477550000000
1627748292000,7477640000000
1627748322000,7477730000000
1627748352000,7477800000000
1627748382000,7477880000000
1627748412000,7477950000000
1627748442000,7478060000000
1627748472000,7478150000000
1627748502000,7478280000000
1627748532000,7478370000000
1627748562000,7478480000000
1627748592000,7478600000000
1627748622000,7478670000000
1627748652000,7478790000000
1627748682000,7478880000000
1627748712000,7478990000000
1627748742000,7479100000000
1627748772000,7479230000000
1627748802000,7479320000000
1627748832000,7479410000000
1627748862000,7479510000000
1627748892000,7479590000000
1627748922000,7479680000000
1627748952000,7479840000000
1627748982000,7479900000000
1627749012000,7480010000000
1627749042000,7480090000000
1627749072000,7480200000000
1627749102000,7480300000000
1627749132000,7480420000000
1627749162000,7480500000000
1627749192000,7480580000000
1627749222000,7480680000000
1627749252000,7480780000000
1627749282000,7480860000000
1627749312000,7480970000000
1627749342000,7481100000000
1627749372000,7481200000000
1627749402000,7481320000000
1627749432000,7481420000000
1627749462000,7481480000000
1627749492000,7481570000000
1627749522000,7481730000000
1627749552000,7481860000000
1627749582000,7482000000000
1627749612000,7482100000000
1627749642000,7482200000000
1627749672000,7482300000000
1627749702000,7482420000000
1627749732000,7482550000000
1627749762000,7482650000000
1627749792000,7482740000000
1627749822000,7482870000000
1627749852000,7482930000000
1627749882000,7483020000000
1627749912000,7483180000000
1627749942000,7483250000000
1627749972000,7483350000000
1627750002000,7483430000000
1627750032000,7483560000000
1627750062000,7483660000000
1627750092000,7483740000000
1627750122000,7483800000000
1627750152000,7483880000000
1627750182000,7483950000000
1627750212000,7484050000000
1627750242000,7484140000000
1627750272000,7484230000000
1627750302000,7484360000000
1627750332000,7484470000000
1627750362000,7484550000000
1627750392000,7484670000000
1627750422000,7484740000000
1627750452000,7484860000000
1627750482000,7484910000000
1627750512000,7485010000000
1627750542000,7485100000000
1627750572000,7485210000000
1627750602000,7485350000000
1627750632000,7485480000000
1627750662000,7485580000000
1627750692000,7485700000000
1627750722000,7485810000000
1627750752000,7485890000000
1627750782000,7485970000000
1627750812000,7486120000000
1627750842000,7486260000000
1627750872000,7486420000000
1627750902000,7486570000000
1627750932000,7486670000000
1627750962000,7486770000000
1627750992000,7486920000000
1627751022000,7487000000000
1627751052000,7487120000000
1627751082000,7487240000000
1627751112000,7487330000000
1627751142000,7487500000000
1627751172000,7487600000000
1627751202000,7487700000000
1627751232000,7487840000000
1627751262000,7487940000000
1627751292000,7488050000000
1627751322000,7488180000000
1627751352000,7488270000000
1627751382000,7488350000000
1627751412000,7488440000000
1627751442000,7488540000000
1627751472000,7488670000000
1627751502000,7488810000000
1627751532000,7488880000000
1627751562000,7488980000000
1627751592000,7489080000000
1627751622000,7489180000000
1627751652000,7489290000000
1627751682000,7489400000000
1627751712000,7489470000000
1627751742000,7489600000000
1627751772000,7489700000000
1627751802000,7489830000000
1627751832000,7489930000000
1627751862000,7490050000000
1627751892000,7490150000000
1627751922000,7490260000000
1627751952000,7490390000000
1627751982000,7490470000000
1627752012000,7490550000000
1627752042000,7490640000000
1627752072000,7490720000000
1627752102000,7490860000000
1627752132000,7490990000000
1627752162000,7491060000000
1627752192000,7491140000000
1627752222000,7491230000000
1627752252000,7491300000000
1627752282000,7491440000000
1627752312000,7491540000000
1627752342000,7491690000000
1627752372000,7491780000000
1627752402000,7491870000000
1627752432000,7491960000000
1627752462000,7492060000000
1627752492000,7492160000000
1627752522000,7492260000000
1627752552000,7492360000000
1627752582000,7492450000000
1627752612000,7492540000000
1627752642000,7492620000000
1627752672000,7492740000000
1627752702000,7492810000000
1627752732000,7492920000000
1627752762000,7493020000000
1627752792000,7493150000000
1627752822000,7493280000000
1627752852000,7493370000000
1627752882000,7493510000000
1627752912000,7493620000000
1627752942000,7493680000000
1627752972000,7493760000000
1627753002000,7493850000000
1627753032000,7493980000000
1627753062000,7494070000000
1627753092000,7494200000000
1627753122000,7494290000000
1627753152000,7494380000000
1627753182000,7494500000000
1627753212000,7494560000000
1627753242000,7494640000000
1627753272000,7494740000000
1627753302000,7494840000000
1627753332000,7494970000000
1627753362000,7495030000000
1627753392000,7495130000000
1627753422000,7495260000000
1627753452000,7495360000000
1627753482000,7495470000000
1627753512000,7495560000000
1627753542000,7495620000000
1627753572000,7495720000000
1627753602000,7495800000000
1627753632000,7495960000000
1627753662000,7496080000000
1627753692000,7496180000000
1627753722000,7496260000000
1627753752000,7496340000000
1627753782000,7496450000000
1627753812000,7496530000000
1627753842000,7496600000000
1627753872000,7496700000000
1627753902000,7496790000000
1627753932000,7496900000000
1627753962000,7497000000000
1627753992000,7497090000000
1627754022000,7497180000000
1627754052000,7497280000000
1627754082000,7497360000000
1627754112000,7497460000000
1627754142000,7497520000000
1627754172000,7497630000000
1627754202000,7497760000000
1627754232000,7497820000000
1627754262000,7497880000000
1627754292000,7498000000000
1627754322000,7498120000000
1627754352000,7498200000000
1627754382000,7498270000000
1627754412000,7498360000000
1627754442000,7498460000000
1627754472000,7498620000000
1627754502000,7498690000000
1627754532000,7498830000000
1627754562000,7498920000000
1627754592000,7499000000000
1627754622000,7499090000000
1627754652000,7499160000000
1627754682000,7499280000000
1627754712000,7499360000000
1627754742000,7499490000000
1627754772000,7499570000000
1627754802000,7499640000000
1627754832000,7499780000000
1627754862000,7499880000000
1627754892000,7500020000000
1627754922000,7500100000000
1627754952000,7500200000000
1627754982000,7500310000000
1627755012000,7500400000000
1627755042000,7500520000000
1627755072000,7500620000000
1627755102000,7500730000000
1627755132000,7500840000000
1627755162000,7500950000000
1627755192000,7501070000000
1627755222000,7501180000000
1627755252000,7501300000000
1627755282000,7501390000000
1627755312000,7501510000000
1627755342000,7501580000000
1627755372000,7501720000000
1627755402000,7501800000000
1627755432000,7501900000000
1627755462000,7502030000000
1627755492000,7502140000000
1627755522000,7502220000000
1627755552000,7502330000000
1627755582000,7502420000000
1627755612000,7502530000000
1627755642000,7502640000000
1627755672000,7502770000000
1627755702000,7502880000000
1627755732000,7502970000000
1627755762000,7503050000000
1627755792000,7503140000000
1627755822000,7503260000000
1627755852000,7503380000000
1627755882000,7503500000000
1627755912000,7503640000000
1627755942000,7503760000000
1627755972000,7503850000000
1627756002000,7503960000000
1627756032000,7504060000000
1627756062000,7504180000000
1627756092000,7504310000000
1627756122000,7504430000000
1627756152000,7504530000000
1627756182000,7504600000000
1627756212000,7504750000000
1627756242000,7504870000000
1627756272000,7504960000000
1627756302000,7505080000000
1627756332000,7505170000000
1627756362000,7505310000000
1627756392000,7505400000000
1627756422000,7505510000000
1627756452000,7505600000000
1627756482000,7505730000000
1627756512000,7505860000000
1627756542000,7505900000000
1627756572000,7506020000000
1627756602000,7506120000000
1627756632000,7506220000000
1627756662000,7506300000000
1627756692000,7506410000000
1627756722000,7506590000000
1627756752000,7506680000000
1627756782000,7506800000000
1627756812000,7506910000000
1627756842000,7507000000000
1627756872000,7507070000000
1627756902000,7507170000000
1627756932000,7507280000000
1627756962000,7507380000000
1627756992000,7507490000000
1627757022000,7507560000000
1627757052000,7507670000000
1627757082000,7507780000000
1627757112000,7507880000000
1627757142000,7507980000000
1627757172000,7508100000000
1627757202000,7508220000000
1627757232000,7508270000000
1627757262000,7508360000000
1627757292000,7508460000000
1627757322000,7508580000000
1627757352000,7508720000000
1627757382000,7508840000000
1627757412000,7508940000000
1627757442000,7509040000000
1627757472000,7509170000000
1627757502000,7509240000000
1627757532000,7509380000000
1627757562000,7509510000000
1627757592000,7509640000000
1627757622000,7509750000000
1627757652000,7509830000000
1627757682000,7509920000000
1627757712000,7510000000000
1627757742000,7510120000000
1627757772000,7510250000000
1627757802000,7510390000000
1627757832000,7510480000000
1627757862000,7510580000000
1627757892000,7510680000000
1627757922000,7510780000000
1627757952000,7510880000000
1627757982000,7511020000000
1627758012000,7511090000000
1627758042000,7511220000000
1627758072000,7511310000000
1627758102000,7511410000000
1627758132000,7511500000000
1627758162000,7511600000000
1627758192000,7511720000000
1627758222000,7511820000000
1627758252000,7511920000000
1627758282000,7512000000000
1627758312000,7512130000000
1627758342000,7512250000000
1627758372000,7512340000000
1627758402000,7512450000000
1627758432000,7512560000000
1627758462000,7512680000000
1627758492000,7512750000000
1627758522000,7512830000000
1627758552000,7512960000000
1627758582000,7513040000000
1627758612000,7513150000000
1627758642000,7513240000000
1627758672000,7513340000000
1627758702000,7513410000000
1627758732000,7513510000000
1627758762000,7513600000000
1627758792000,7513740000000
1627758822000,7513860000000
1627758852000,7513980000000
1627758882000,7514080000000
1627758912000,7514210000000
1627758942000,7514290000000
1627758972000,7514400000000
1627759002000,7514490000000
1627759032000,7514610000000
1627759062000,7514700000000
1627759092000,7514800000000
1627759122000,7514900000000
1627759152000,7515000000000
1627759182000,7515110000000
1627759212000,7515200000000
1627759242000,7515320000000
1627759272000,7515420000000
1627759302000,7515550000000
1627759332000,7515660000000
1627759362000,7515720000000
1627759392000,7515800000000
1627759422000,7515910000000
1627759452000,7516010000000
1627759482000,7516110000000
1627759512000,7516200000000
1627759542000,7516270000000
1627759572000,7516380000000
1627759602000,7516470000000
1627759632000,7516590000000
1627759662000,7516700000000
1627759692000,7516740000000
1627759722000,7516840000000
1627759752000,7516940000000
1627759782000,7517060000000
1627759812000,7517100000000
1627759842000,7517180000000
1627759872000,7517270000000
1627759902000,7517320000000
1627759932000,7517390000000
1627759962000,7517500000000
1627759992000,7517600000000
1627760022000,7517710000000
1627760052000,7517810000000
1627760082000,7517900000000
1627760112000,7518000000000
1627760142000,7518110000000
1627760172000,7518180000000
1627760202000,7518290000000
1627760232000,7518360000000
1627760262000,7518430000000
1627760292000,7518550000000
1627760322000,7518630000000
1627760352000,7518720000000
1627760382000,7518830000000
1627760412000,7518910000000
1627760442000,7518980000000
1627760472000,7519060000000
1627760502000,7519120000000
1627760532000,7519200000000
1627760562000,7519400000000
1627760592000,7519520000000
1627760622000,7519590000000
1627760652000,7519670000000
1627760682000,7519770000000
1627760712000,7519870000000
1627760742000,7519980000000
1627760772000,7520050000000
1627760802000,7520160000000
1627760832000,7520210000000
1627760862000,7520300000000
1627760892000,7520440000000
1627760922000,7520560000000
1627760952000,7520660000000
1627760982000,7520800000000
1627761012000,7520910000000
1627761042000,7520990000000
1627761072000,7521090000000
1627761102000,7521160000000
1627761132000,7521290000000
1627761162000,7521360000000
1627761192000,7521440000000
1627761222000,7521500000000
1627761252000,7521590000000
1627761282000,7521660000000
1627761312000,7521740000000
1627761342000,7521800000000
1627761372000,7521900000000
1627761402000,7521970000000
1627761432000,7522060000000
1627761462000,7522140000000
1627761492000,7522210000000
1627761522000,7522340000000
1627761552000,7522420000000
1627761582000,7522510000000
1627761612000,7522590000000
1627761642000,7522690000000
1627761672000,7522800000000
1627761702000,7522910000000
1627761732000,7523000000000
1627761762000,7523100000000
1627761792000,7523180000000
1627761822000,7523290000000
1627761852000,7523380000000
1627761882000,7523510000000
1627761912000,7523630000000
