timestamp,value
1627747206000,4663464
1627747236000,4663542
1627747266000,4663581
1627747296000,4663621
1627747326000,4663695
1627747356000,4663733
1627747386000,4663773
1627747416000,4663880
1627747446000,4663952
1627747476000,4663992
1627747506000,4664062
1627747536000,4664140
1627747566000,4664306
1627747596000,4664345
1627747626000,4664379
1627747656000,4664447
1627747686000,4664483
1627747716000,4664517
1627747746000,4664550
1627747776000,4664584
1627747806000,4664655
1627747836000,4664728
1627747866000,4664768
1627747896000,4664804
1627747926000,4664844
1627747956000,4664882
1627747986000,4664951
1627748016000,4665059
1627748046000,4665059
1627748076000,4665093
1627748106000,4665127
1627748136000,4665199
1627748166000,4665233
1627748196000,4665233
1627748226000,4665343
1627748256000,4665415
1627748286000,4665449
1627748316000,4665483
1627748346000,4665555
1627748376000,4665555
1627748406000,4665629
1627748436000,4665629
1627748466000,4665701
1627748496000,4665739
1627748526000,4665809
1627748556000,4665849
1627748586000,4665885
1627748616000,4665925
1627748646000,4666003
1627748676000,4666003
1627748706000,4666040
1627748736000,4666111
1627748766000,4666183
1627748796000,4666183
1627748826000,4666183
1627748856000,4666295
1627748886000,4666335
1627748916000,4666371
1627748946000,4666484
1627748976000,4666518
1627749006000,4666554
1627749036000,4666660
1627749066000,4666660
1627749096000,4666772
1627749126000,4666806
1627749156000,4666842
1627749186000,4666880
1627749216000,4666918
1627749246000,4666992
1627749276000,4667068
1627749306000,4667102
1627749336000,4667172
1627749366000,4667211
1627749396000,4667251
1627749426000,4667251
1627749456000,4667287
1627749486000,4667390
1627749516000,4667496
1627749546000,4667566
1627749576000,4667638
1627749606000,4667674
1627749636000,4667712
1627749666000,4667712
1627749696000,4667746
1627749726000,4667780
1627749756000,4667814
1627749786000,4667918
1627749816000,4667954
1627749846000,4667954
1627749876000,4668034
1627749906000,4668106
1627749936000,4668106
1627749966000,4668174
1627749996000,4668210
1627750026000,4668286
1627750056000,4668322
1627750086000,4668356
1627750116000,4668392
1627750146000,4668463
1627750176000,4668501
1627750206000,4668537
1627750236000,4668573
1627750266000,4668647
1627750296000,4668719
1627750326000,4668787
1627750356000,4668787
1627750386000,4668855
1627750416000,4668895
1627750446000,4668965
1627750476000,4669035
1627750506000,4669035
1627750536000,4669113
1627750566000,4669153
1627750596000,4669191
1627750626000,4669227
1627750656000,4669263
1627750686000,4669303
1627750716000,4669373
1627750746000,4669441
1627750776000,4669476
1627750806000,4669554
1627750836000,4669590
1627750866000,4669628
1627750896000,4669662
1627750926000,4669730
1627750956000,4669730
1627750986000,4669842
1627751016000,4669842
1627751046000,4669912
1627751076000,4669986
1627751106000,4670022
1627751136000,4670062
1627751166000,4670062
1627751196000,4670130
1627751226000,4670202
1627751256000,4670236
1627751286000,4670310
1627751316000,4670382
1627751346000,4670382
1627751376000,4670416
1627751406000,4670486
1627751436000,4670562
1627751466000,4670598
1627751496000,4670632
1627751526000,4670668
1627751556000,4670702
1627751586000,4670702
1627751616000,4670772
1627751646000,4670808
1627751676000,4670876
1627751706000,4670910
1627751736000,4670946
1627751766000,4670984
1627751796000,4671158
1627751826000,4671356
1627751856000,4671492
1627751886000,4671691
1627751916000,4671728
1627751946000,4671800
1627751976000,4671872
1627752006000,4671908
1627752036000,4671946
1627752066000,4671979
1627752096000,4672118
1627752126000,4672184
1627752156000,4672220
1627752186000,4672300
1627752216000,4672335
1627752246000,4672335
1627752276000,4672404
1627752306000,4672471
1627752336000,4672543
1627752366000,4672581
1627752396000,4672581
1627752426000,4672652
1627752456000,4672690
1627752486000,4672727
1627752516000,4672805
1627752546000,4672841
1627752576000,4672875
1627752606000,4672948
1627752636000,4672988
1627752666000,4673064
1627752696000,4673104
1627752726000,4673140
1627752756000,4673176
1627752786000,4673248
1627752816000,4673322
1627752846000,4673356
1627752876000,4673396
1627752906000,4673430
1627752936000,4673500
1627752966000,4673574
1627752996000,4673608
1627753026000,4673644
1627753056000,4673716
1627753086000,4673752
1627753116000,4673822
1627753146000,4673858
1627753176000,4673892
1627753206000,4673892
1627753236000,4673892
1627753266000,4673928
1627753296000,4673964
1627753326000,4674067
1627753356000,4674143
1627753386000,4674214
1627753416000,4674248
1627753446000,4674500
1627753476000,4674574
1627753506000,4674574
1627753536000,4674649
1627753566000,4674687
1627753596000,4674687
1627753626000,4674789
1627753656000,4674861
1627753686000,4674937
1627753716000,4674937
1627753746000,4674937
1627753776000,4674975
1627753806000,4674975
1627753836000,4675078
1627753866000,4675148
1627753896000,4675187
1627753926000,4675261
1627753956000,4675301
1627753986000,4675408
1627754016000,4675442
1627754046000,4675442
1627754076000,4675522
1627754106000,4675558
1627754136000,4675636
1627754166000,4675710
1627754196000,4675744
1627754226000,4675744
1627754256000,4675816
1627754286000,4675886
1627754316000,4675957
1627754346000,4675995
1627754376000,4676033
1627754406000,4676101
1627754436000,4676137
1627754466000,4676171
1627754496000,4676209
1627754526000,4676243
1627754556000,4676313
1627754586000,4676349
1627754616000,4676459
1627754646000,4676495
1627754676000,4676565
1627754706000,4676599
1627754736000,4676635
1627754766000,4676707
1627754796000,4676707
1627754826000,4676741
1627754856000,4676815
1627754886000,4676815
1627754916000,4676887
1627754946000,4676923
1627754976000,4676957
1627755006000,4676997
1627755036000,4677033
1627755066000,4677113
1627755096000,4677153
1627755126000,4677187
1627755156000,4677221
1627755186000,4677289
1627755216000,4677365
1627755246000,4677435
1627755276000,4677435
1627755306000,4677471
1627755336000,4677507
1627755366000,4677615
1627755396000,4677651
1627755426000,4677651
1627755456000,4677725
1627755486000,4677795
1627755516000,4677829
1627755546000,4677899
1627755576000,4677975
1627755606000,4677975
1627755636000,4678087
